ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,12997,311,50669,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-06-18T04:51:59.658586
mmumairkhattak/e-commerce-orders-dataset-2026-scra,E-commerce Orders Dataset 2026 | SCRA,1.7 MB,2026-06-11T06:56:56.000Z,1042,26,3618,Muhammad Umair,https://www.kaggle.com/datasets/mmumairkhattak/e-commerce-orders-dataset-2026-scra,2026-06-18T04:51:59.658637
nalisha/early-wakeup-health-and-lifestyle-dataset,🌅 Early Wakeup Health & Lifestyle Dataset,957.7 KB,2026-06-12T04:49:32.547Z,838,25,3121,Aleesha Nadeem,https://www.kaggle.com/datasets/nalisha/early-wakeup-health-and-lifestyle-dataset,2026-06-18T04:51:59.658680
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,1369,33,5365,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-06-18T04:51:59.658720
ashyou09/india-cancer-patient-dataset-2022-2025,India Cancer Patient Dataset (2022-2025),1.4 MB,2026-06-11T18:03:58.327Z,599,24,2144,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/india-cancer-patient-dataset-2022-2025,2026-06-18T04:51:59.658760
kulkarniparth09/fifa-world-cup-complete-dataset-19302026,FIFA World Cup Complete Dataset: 1930–2026,11.7 KB,2026-06-07T06:29:15.677Z,2266,53,7492,Parth,https://www.kaggle.com/datasets/kulkarniparth09/fifa-world-cup-complete-dataset-19302026,2026-06-18T04:51:59.658795
muhammadmusharraf444/used-car-price-prediction-dataset,Used Car Price Prediction Dataset,11.9 KB,2026-06-11T19:44:23.573Z,1031,25,3666,Muhammad          Musharraf,https://www.kaggle.com/datasets/muhammadmusharraf444/used-car-price-prediction-dataset,2026-06-18T04:51:59.658834
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,863,30,3101,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-06-18T04:51:59.658873
nalisha/netflix-movies-and-tv-shows-data-analysis,Netflix Movies and TV Shows Data Analysis,1.7 MB,2026-05-28T11:58:01.000Z,3294,80,12924,Aleesha Nadeem,https://www.kaggle.com/datasets/nalisha/netflix-movies-and-tv-shows-data-analysis,2026-06-18T04:51:59.658912
muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,Ai Impact in future on jobs market in 2030,105.8 KB,2026-05-24T15:12:54.047Z,3973,85,14634,Muhammad Waqas,https://www.kaggle.com/datasets/muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,2026-06-18T04:51:59.658951
sridevilavanyacse/student-lifestyle-and-stress-prediction-dataset,Student Lifestyle and Stress Prediction Dataset,978.7 KB,2026-05-30T03:37:06.000Z,1195,28,4677,Sridevi,https://www.kaggle.com/datasets/sridevilavanyacse/student-lifestyle-and-stress-prediction-dataset,2026-06-18T04:51:59.658989
anujsaha0123456789/e-commerce-product-intelligence-dataset,E-Commerce Product Intelligence Dataset,7.2 MB,2026-06-07T17:56:36.823Z,1611,40,6352,Anuj Saha,https://www.kaggle.com/datasets/anujsaha0123456789/e-commerce-product-intelligence-dataset,2026-06-18T04:51:59.659024
