ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,14750,360,57348,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-19T03:38:18.491533
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,2953,60,9199,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-19T03:38:18.491581
razanihababdellatif/bank-marketing-and-customer-behavior-dataset,Bank Marketing & Customer Behavior Dataset,478.2 KB,2026-07-15T14:10:37.447Z,666,23,2600,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/bank-marketing-and-customer-behavior-dataset,2026-07-19T03:38:18.491623
sunil123kumar/netflix-movies-and-tv-shows-dataset,Netflix Movies and TV Shows  Dataset,1.3 MB,2026-07-06T02:57:00.363Z,1293,28,4708,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/netflix-movies-and-tv-shows-dataset,2026-07-19T03:38:18.491663
deeplumiere/automobile-market-analytics-dataset,Automobile Market Analytics Dataset,122.5 KB,2026-07-14T07:35:20.707Z,922,26,3339,DeepLumiere,https://www.kaggle.com/datasets/deeplumiere/automobile-market-analytics-dataset,2026-07-19T03:38:18.491694
ashyou09/global-budget-allocation-dataset-19362026,Global Budget Allocation Dataset (1936–2026) 🌎,288.1 KB,2026-07-11T08:11:16.587Z,1796,39,3751,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-budget-allocation-dataset-19362026,2026-07-19T03:38:18.491735
rickyjackson/quebec-housing-sales-price,Quebec Housing Sales price,90.0 KB,2026-07-12T21:05:30.000Z,532,22,1899,Ricky Jackson,https://www.kaggle.com/datasets/rickyjackson/quebec-housing-sales-price,2026-07-19T03:38:18.491778
ashyou09/apple-products-pricing-dataset-2020-2026,Apple Products Pricing Dataset (2020-2026)🍎,1.5 MB,2026-07-04T16:06:56.000Z,2433,44,7840,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/apple-products-pricing-dataset-2020-2026,2026-07-19T03:38:18.491832
kylefengkfeng209/how-fast-do-you-forget-13m-duolingo-sessions,How Fast Do You Forget? 13M Duolingo Sessions,17.1 MB,2026-07-12T06:33:16.000Z,491,29,2493,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/how-fast-do-you-forget-13m-duolingo-sessions,2026-07-19T03:38:18.491873
mirzayasirabdullah07/llm-and-generative-ai-usage-analytics-dataset,LLM & Generative AI Usage Analytics Dataset,20.6 KB,2026-07-15T05:41:11.000Z,281,22,1326,Mirza Yasir Abdullah Baig,https://www.kaggle.com/datasets/mirzayasirabdullah07/llm-and-generative-ai-usage-analytics-dataset,2026-07-19T03:38:18.491912
uditjain13/social-media-screen-time-and-mental-health-2026,"Social Media, Screen Time & Mental Health 2026",174.3 KB,2026-07-05T09:19:11.000Z,1574,44,5761,Udit Jain,https://www.kaggle.com/datasets/uditjain13/social-media-screen-time-and-mental-health-2026,2026-07-19T03:38:18.491950
rewantbhriguvanshi/customer-shopping-trends-indian,Customer Shopping Trends Indian,593.6 KB,2026-07-03T12:50:06.887Z,1150,31,3377,Rewant Bhriguvanshi,https://www.kaggle.com/datasets/rewantbhriguvanshi/customer-shopping-trends-indian,2026-07-19T03:38:18.491989
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,5020,102,17106,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-19T03:38:18.492028
mann14/2026-fifa-world-cup,2026 FIFA World Cup,2.8 KB,2026-07-12T14:12:19.273Z,1119,26,4379,Mann Raval,https://www.kaggle.com/datasets/mann14/2026-fifa-world-cup,2026-07-19T03:38:18.492066
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,3284,14,1055,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-07-19T03:38:18.492088
ashyou09/google-play-store-apps-2026-edition,Google Play Store Apps (2026 Edition),247.7 KB,2026-07-04T06:38:03.000Z,772,21,2551,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/google-play-store-apps-2026-edition,2026-07-19T03:38:18.492126
sharmajicoder/used-phone-price-prediction-dataset,Used Phone Price Prediction Dataset,31.9 MB,2026-06-22T09:04:46.603Z,1078,29,3471,Stable Space,https://www.kaggle.com/datasets/sharmajicoder/used-phone-price-prediction-dataset,2026-07-19T03:38:18.492160
deeplumiere/hyperscale-data-center-dataset,Hyperscale Data Center Dataset,7.5 MB,2026-07-14T08:22:24.457Z,320,19,1476,DeepLumiere,https://www.kaggle.com/datasets/deeplumiere/hyperscale-data-center-dataset,2026-07-19T03:38:18.492185
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,360410,3890,1497180,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-19T03:38:18.492205
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,48583,1446,446006,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-07-19T03:38:18.492225
