ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,4875,114,17562,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-08-17T01:47:40.772209
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,11018,209,35179,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-08-17T01:47:40.772296
srisyra02/spotify-music-artist-streaming-analytics,Spotify Music Artist Streaming Analytics,22.9 KB,2026-08-07T03:20:03.313Z,1491,28,4955,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/spotify-music-artist-streaming-analytics,2026-08-17T01:47:40.772372
razanihababdellatif/womens-e-commerce-clothing-reviews-and-sales,Women's E-Commerce Clothing Reviews & Sales,963.8 KB,2026-08-09T19:08:19.143Z,600,25,2091,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/womens-e-commerce-clothing-reviews-and-sales,2026-08-17T01:47:40.772449
debayank2024/house-price-prediction,House Price Prediction,145.3 KB,2026-07-31T17:01:46.000Z,1246,35,4389,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/house-price-prediction,2026-08-17T01:47:40.772523
saitejabandaruin/global-restaurant-delivery-intelligence,Global Restaurant & Food Delivery Intelligence,3.2 MB,2026-08-11T00:29:06.007Z,878,34,3081,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/global-restaurant-delivery-intelligence,2026-08-17T01:47:40.772601
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,11030,185,34711,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-08-17T01:47:40.772674
stevenleehans/rsna-knee-llm-report-labels,RSNA Knee LLM Report Labels,416.0 KB,2026-08-09T06:16:43.867Z,1057,24,1517,stevenleehans,https://www.kaggle.com/datasets/stevenleehans/rsna-knee-llm-report-labels,2026-08-17T01:47:40.772733
pandaa12/indonesia-airbnb-dataset-bandung-listings,Indonesia Airbnb Dataset: Bandung,60.5 KB,2026-08-09T18:38:01.793Z,476,21,1971,Luthfi Abdillah,https://www.kaggle.com/datasets/pandaa12/indonesia-airbnb-dataset-bandung-listings,2026-08-17T01:47:40.772806
jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,Indian E-Commerce Sales Analytics Dataset,10.5 MB,2026-08-05T12:05:25.157Z,962,24,2581,Jatin khandelwal112,https://www.kaggle.com/datasets/jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,2026-08-17T01:47:40.772883
laxmikantaroy/fifa-world-cup-all-matches-19302026,FIFA World Cup All Matches (1930–2026),22.2 KB,2026-08-04T21:13:01.163Z,1339,35,4686,Laxmikanta Roy,https://www.kaggle.com/datasets/laxmikantaroy/fifa-world-cup-all-matches-19302026,2026-08-17T01:47:40.772956
georgymamarin/kaggriculture-episodes,Kaggriculture Episodes,4.2 GB,2026-08-16T02:49:27.653Z,4524,42,1479,Georgy Mamarin,https://www.kaggle.com/datasets/georgymamarin/kaggriculture-episodes,2026-08-17T01:47:40.773031
raykkretzschmar/kaggriculture-reference-agents,Kaggriculture Reference Agents,144.2 KB,2026-08-08T17:02:57.513Z,902,24,1099,Rayk Kretzschmar,https://www.kaggle.com/datasets/raykkretzschmar/kaggriculture-reference-agents,2026-08-17T01:47:40.773105
shakhnoza12/gold-price-analysis-20002026,Gold Price Analysis (2000–2026),104.3 KB,2026-07-23T12:33:38.433Z,1283,30,4553,Shakhnoza12_,https://www.kaggle.com/datasets/shakhnoza12/gold-price-analysis-20002026,2026-08-17T01:47:40.773182
ravaghi/wellbore-geology-prediction-artifacts,Wellbore Geology Prediction | Artifacts,2.2 GB,2026-06-04T14:39:56.717Z,6043,19,4612,Mahdi Ravaghi,https://www.kaggle.com/datasets/ravaghi/wellbore-geology-prediction-artifacts,2026-08-17T01:47:40.773264
fleongg/rogii-claude-models-pub,rogii-claude-models-pub,9.7 MB,2026-06-07T19:21:25.000Z,2751,10,1813,fle3n,https://www.kaggle.com/datasets/fleongg/rogii-claude-models-pub,2026-08-17T01:47:40.773296
saitejabandaruin/automated-pipeline-dataset-output,"""Global Tech & AI Startups Dataset (2020-2026)""",750.6 KB,2026-08-15T18:03:12.000Z,1321,43,4821,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/automated-pipeline-dataset-output,2026-08-17T01:47:40.773370
srisyra02/e-commerce-sales-performance-analysis,E-Commerce Sales Performance Analysis,108.3 KB,2026-08-06T04:17:51.643Z,530,12,1662,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/e-commerce-sales-performance-analysis,2026-08-17T01:47:40.773437
kaggle/pokemon-tcg-ai-battle-episodes-2026-08-12,The Pokémon Company - PTCG AI Battle Challenge Simulation Episodes 2026-08-12,701.5 MB,2026-08-13T00:09:11.637Z,56005,15,782,Kaggle,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-08-12,2026-08-17T01:47:40.773467
srisyra02/netflix-movies,Netflix Movies and TV Shows,1.3 MB,2026-07-28T03:19:27.000Z,738,22,2874,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/netflix-movies,2026-08-17T01:47:40.773534
