ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,5821,101,18639,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-08-04T03:27:17.273158
rishavsvault/most-streamed-artists-on-spotify,Most Streamed Artists on Spotify,36.7 KB,2026-07-24T16:55:05.213Z,2631,50,8590,Rishav,https://www.kaggle.com/datasets/rishavsvault/most-streamed-artists-on-spotify,2026-08-04T03:27:17.273210
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,7387,129,23015,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-08-04T03:27:17.273273
srisyra02/amazon-product-sales-data-42k-items-2025,Amazon Product Sales Data 42K+ Items - 2025,3.9 MB,2026-07-21T05:14:19.917Z,1368,28,4838,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/amazon-product-sales-data-42k-items-2025,2026-08-04T03:27:17.273314
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,22188,538,84594,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-08-04T03:27:17.273352
jatinkhandelwal112/indian-financial-fraud-dataset,Indian Financial Fraud Dataset,9.8 MB,2026-07-20T16:46:13.000Z,856,26,2782,Jatin khandelwal112,https://www.kaggle.com/datasets/jatinkhandelwal112/indian-financial-fraud-dataset,2026-08-04T03:27:17.273392
vivekmali1436/banking-transactions-dataset,Banking Transactions Dataset,89.4 MB,2026-07-17T13:38:51.717Z,2606,40,7002,Vivek Mali 1436,https://www.kaggle.com/datasets/vivekmali1436/banking-transactions-dataset,2026-08-04T03:27:17.273422
kylefengkfeng209/screen-time-vs-mental-health-ml-ready,Screen Time vs Mental Health (ML-Ready),109.5 KB,2026-07-23T19:38:02.563Z,1054,26,4220,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/screen-time-vs-mental-health-ml-ready,2026-08-04T03:27:17.273461
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,671,19,2396,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-08-04T03:27:17.273500
ravaghi/wellbore-geology-prediction-artifacts,Wellbore Geology Prediction | Artifacts,2.2 GB,2026-06-04T14:39:56.717Z,5817,19,4279,Mahdi Ravaghi,https://www.kaggle.com/datasets/ravaghi/wellbore-geology-prediction-artifacts,2026-08-04T03:27:17.273516
fleongg/rogii-claude-models-pub,rogii-claude-models-pub,9.7 MB,2026-06-07T19:21:25.000Z,2626,10,1717,fle3n,https://www.kaggle.com/datasets/fleongg/rogii-claude-models-pub,2026-08-04T03:27:17.273532
abdelrahmanmahmoud22/lotus-group-retail-star-schema-bi,Lotus Retail Dataset - Power BI (Multi tables),648.5 KB,2026-07-24T14:34:00.567Z,748,26,2388,Abdelrahman Mahmoud,https://www.kaggle.com/datasets/abdelrahmanmahmoud22/lotus-group-retail-star-schema-bi,2026-08-04T03:27:17.273566
phongnguyn23021656/koolbox-offline,koolbox offline,51.9 MB,2025-12-05T02:34:36.197Z,1734,7,1434,Phong Nguyễn 23021656,https://www.kaggle.com/datasets/phongnguyn23021656/koolbox-offline,2026-08-04T03:27:17.273582
jpmiller/publicassistance,US Public Food Assistance 1 - WIC,296.9 KB,2023-04-17T20:01:05.000Z,34085,522,153198,JohnM,https://www.kaggle.com/datasets/jpmiller/publicassistance,2026-08-04T03:27:17.273607
troubador/2026-world-cup-player-statistics,World Cup Player Statistics,105.7 KB,2026-07-29T18:24:36.787Z,1057,24,3875,Rohan Prashanth,https://www.kaggle.com/datasets/troubador/2026-world-cup-player-statistics,2026-08-04T03:27:17.273628
uditjain13/heart-disease-risk-2026,Heart Disease Risk 2026,343.5 KB,2026-07-16T19:18:02.423Z,1827,45,6009,Udit Jain,https://www.kaggle.com/datasets/uditjain13/heart-disease-risk-2026,2026-08-04T03:27:17.273673
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,316185,5967,2206113,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-08-04T03:27:17.273711
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,63706,996,349989,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-08-04T03:27:17.273741
kaggle/pokemon-tcg-ai-battle-episodes-2026-07-31,The Pokémon Company - PTCG AI Battle Challenge Simulation Episodes 2026-07-31,710.3 MB,2026-08-01T00:06:48.000Z,40227,16,1483,Kaggle,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-31,2026-08-04T03:27:17.273757
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,51218,1449,447105,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-08-04T03:27:17.273778
