ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,10990,268,42993,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-06-14T04:59:53.727265
kulkarniparth09/fifa-world-cup-complete-dataset-19302026,FIFA World Cup Complete Dataset: 1930–2026,11.7 KB,2026-06-07T06:29:15.677Z,1469,37,4888,Parth,https://www.kaggle.com/datasets/kulkarniparth09/fifa-world-cup-complete-dataset-19302026,2026-06-14T04:59:53.727309
sateasinpedas/global-geo-economic-stress-indicators,Global Geo-Economic Stress Indicators,1.1 MB,2026-06-07T15:37:49.907Z,848,25,3467,sateasinpedas,https://www.kaggle.com/datasets/sateasinpedas/global-geo-economic-stress-indicators,2026-06-14T04:59:53.727338
anujsaha0123456789/e-commerce-product-intelligence-dataset,E-Commerce Product Intelligence Dataset,7.2 MB,2026-06-07T17:56:36.823Z,1346,37,5163,Anuj Saha,https://www.kaggle.com/datasets/anujsaha0123456789/e-commerce-product-intelligence-dataset,2026-06-14T04:59:53.727374
nalisha/netflix-movies-and-tv-shows-data-analysis,Netflix Movies and TV Shows Data Analysis,1.7 MB,2026-05-28T11:58:01.000Z,2563,67,9908,Aleesha Nadeem,https://www.kaggle.com/datasets/nalisha/netflix-movies-and-tv-shows-data-analysis,2026-06-14T04:59:53.727414
muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,Ai Impact in future on jobs market in 2030,105.8 KB,2026-05-24T15:12:54.047Z,3474,77,12837,Muhammad Waqas,https://www.kaggle.com/datasets/muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,2026-06-14T04:59:53.727454
isfakiqbalchowdhuruy/fifa-mens-world-cup-dataset-1970-2022,FIFA Men's World Cup Dataset (1970-2022),75.1 KB,2026-06-08T22:02:27.303Z,660,22,2904,Isfak Iqbal Chowdhuruy,https://www.kaggle.com/datasets/isfakiqbalchowdhuruy/fifa-mens-world-cup-dataset-1970-2022,2026-06-14T04:59:53.727492
prashant0kumar7/top-500-movies-ranked-by-combined-critics,"Top 500 Movies Ranked by IMDb, Rotten & Letterboxd",109.3 KB,2026-05-17T11:53:15.053Z,1546,26,4605,Prashant Kumar,https://www.kaggle.com/datasets/prashant0kumar7/top-500-movies-ranked-by-combined-critics,2026-06-14T04:59:53.727531
shambhurajejagadale/student-performance-prediction-dataset,Student Performance Prediction Dataset,82.3 KB,2026-05-09T15:49:58.877Z,5589,125,21732,Shambhuraje Jagadale,https://www.kaggle.com/datasets/shambhurajejagadale/student-performance-prediction-dataset,2026-06-14T04:59:53.727569
serkantysz/490k-spotify-song-audio-embeddings-and-metadata,490K Spotify Song Audio Embeddings & Metadata,2.4 GB,2026-06-03T13:45:57.807Z,604,29,3102,Serkan Tüysüz,https://www.kaggle.com/datasets/serkantysz/490k-spotify-song-audio-embeddings-and-metadata,2026-06-14T04:59:53.727608
shivasingh4945/ai-impact-on-jobs-and-layoff-risk-dataset,AI Impact on Jobs and Layoff Risk Dataset,317.8 KB,2026-06-05T12:59:51.000Z,809,35,3095,Shiva Singh,https://www.kaggle.com/datasets/shivasingh4945/ai-impact-on-jobs-and-layoff-risk-dataset,2026-06-14T04:59:53.727647
sergionefedov/global-climate-and-energy-transition-2000-2026,Global Climate & Energy Transition 2000-2026,141.4 KB,2026-06-03T15:35:43.000Z,710,28,2903,Sergey Nefedov,https://www.kaggle.com/datasets/sergionefedov/global-climate-and-energy-transition-2000-2026,2026-06-14T04:59:53.727685
tamashasfernando/oncologists-in-new-york,Oncologists in New York,56.4 KB,2026-06-10T15:34:53.287Z,227,22,1117,Fernando2002,https://www.kaggle.com/datasets/tamashasfernando/oncologists-in-new-york,2026-06-14T04:59:53.727724
ashyou09/global-data-center-and-ai-waterelectricity-usage,Global Data Center & AI Water/Electricity Usage,2.9 MB,2026-06-10T17:04:05.423Z,637,28,2688,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-data-center-and-ai-waterelectricity-usage,2026-06-14T04:59:53.727764
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,306785,5941,2192764,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-06-14T04:59:53.727803
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,354910,3876,1491858,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-06-14T04:59:53.727825
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,65811,1486,493512,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-06-14T04:59:53.727879
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,56869,985,346916,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-06-14T04:59:53.727910
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,27332,405,146215,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-06-14T04:59:53.727934
jpmiller/publicassistance,US Public Food Assistance 1 - WIC,296.9 KB,2023-04-17T20:01:05.000Z,26619,516,152137,JohnM,https://www.kaggle.com/datasets/jpmiller/publicassistance,2026-06-14T04:59:53.727958
