ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
dreaddevelopment/raptor-knee-widedense,Knee MRI model weights: twelve findings,518.2 MB,2026-08-23T04:12:20.703Z,712,39,2731,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-widedense,2026-09-04T04:15:30.653507
leofire123/indian-flight-delay-datasets,Indian Flight Delay Datasets,4.7 MB,2026-08-31T19:36:50.337Z,756,23,2566,Shaktikant Gupta 123,https://www.kaggle.com/datasets/leofire123/indian-flight-delay-datasets,2026-09-04T04:15:30.653537
datascikhan/e-commerce-sales-and-customer-analytics,🛒 E-Commerce Sales Analytics Dataset,28.4 MB,2026-08-25T08:00:46.013Z,2460,61,7659,Shair Khan,https://www.kaggle.com/datasets/datascikhan/e-commerce-sales-and-customer-analytics,2026-09-04T04:15:30.653568
erfan4524/e-commerce-sales-data-analysis-and-eda,E-Commerce Sales Data Analysis & EDA,2.1 MB,2026-08-28T15:12:17.000Z,1777,33,5264,Mohammad erfan Abbasnehzad,https://www.kaggle.com/datasets/erfan4524/e-commerce-sales-data-analysis-and-eda,2026-09-04T04:15:30.653598
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,10433,258,38063,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-09-04T04:15:30.653628
mobeenfatimah/student-exam-performance-and-success-dataset,Student Exam Performance &  Success Dataset,5.7 MB,2026-08-19T07:30:23.257Z,987,33,3387,Mobeen Fatima,https://www.kaggle.com/datasets/mobeenfatimah/student-exam-performance-and-success-dataset,2026-09-04T04:15:30.653657
stevenleehans/rsna-knee-llm-report-labels,RSNA Knee LLM Report Labels,416.0 KB,2026-08-09T06:16:43.867Z,2889,41,3330,stevenleehans,https://www.kaggle.com/datasets/stevenleehans/rsna-knee-llm-report-labels,2026-09-04T04:15:30.653680
debayank2024/house-price-prediction,House Price Prediction,145.3 KB,2026-07-31T17:01:46.000Z,4318,86,15222,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/house-price-prediction,2026-09-04T04:15:30.653708
mansiaggarwal88/diabetes-risk-prediction,Diabetes Risk Prediction,322.9 KB,2026-08-13T15:38:56.197Z,1886,34,6082,Mansi Aggarwal,https://www.kaggle.com/datasets/mansiaggarwal88/diabetes-risk-prediction,2026-09-04T04:15:30.653737
harishyadav0506/imdb-movies-dataset-csv,imdb_movies_dataset.csv,1.7 KB,2026-08-21T14:53:55.317Z,584,24,2414,Harish Yadav,https://www.kaggle.com/datasets/harishyadav0506/imdb-movies-dataset-csv,2026-09-04T04:15:30.653759
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,17856,340,57675,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-09-04T04:15:30.653788
dreaddevelopment/knee-raptor-corpus-ext,"Knee MRI preprocessed slice stacks, part 2 of 2",4.2 GB,2026-08-21T23:14:46.213Z,624,21,1079,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/knee-raptor-corpus-ext,2026-09-04T04:15:30.653839
srisyra02/online-food-ordering-dataset,Online Food Ordering Dataset,3.6 KB,2026-08-23T15:26:25.483Z,960,19,3346,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/online-food-ordering-dataset,2026-09-04T04:15:30.653868
georgymamarin/kaggriculture-episodes,Kaggriculture Episodes,9.3 GB,2026-09-03T04:28:44.207Z,16295,59,2765,Georgy Mamarin,https://www.kaggle.com/datasets/georgymamarin/kaggriculture-episodes,2026-09-04T04:15:30.653897
razanihababdellatif/food-delivery-orders-and-eta-logistics-dataset,Food Delivery Orders & ETA Logistics Dataset,2.6 MB,2026-08-15T12:33:55.067Z,1604,45,6081,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/food-delivery-orders-and-eta-logistics-dataset,2026-09-04T04:15:30.653926
razanihababdellatif/smart-city-digital-twin-ecosystem-dataset,Smart City Digital Twin Ecosystem Dataset,99.5 MB,2026-08-29T14:01:30.657Z,371,23,1479,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/smart-city-digital-twin-ecosystem-dataset,2026-09-04T04:15:30.653953
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,318130,5995,2214078,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-09-04T04:15:30.653981
jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,Indian E-Commerce Sales Analytics Dataset,10.5 MB,2026-08-05T12:05:25.157Z,3352,63,9403,Jatin khandelwal112,https://www.kaggle.com/datasets/jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,2026-09-04T04:15:30.654010
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,34727,435,153038,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-09-04T04:15:30.654028
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,73803,1510,502704,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-09-04T04:15:30.654052
