ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,3895,90,13919,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-08-13T02:35:13.653271
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,9733,189,31263,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-08-13T02:35:13.653326
saitejabandaruin/global-restaurant-delivery-intelligence,Global Restaurant & Food Delivery Intelligence,3.2 MB,2026-08-11T00:29:06.007Z,490,24,1815,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/global-restaurant-delivery-intelligence,2026-08-13T02:35:13.653366
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,10251,176,32054,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-08-13T02:35:13.653405
laxmikantaroy/fifa-world-cup-all-matches-19302026,FIFA World Cup All Matches (1930–2026),22.2 KB,2026-08-04T21:13:01.163Z,1178,31,4077,Laxmikanta Roy,https://www.kaggle.com/datasets/laxmikantaroy/fifa-world-cup-all-matches-19302026,2026-08-13T02:35:13.653444
shakhnoza12/gold-price-analysis-20002026,Gold Price Analysis (2000–2026),104.3 KB,2026-07-23T12:33:38.433Z,1055,28,3775,Shakhnoza12_,https://www.kaggle.com/datasets/shakhnoza12/gold-price-analysis-20002026,2026-08-13T02:35:13.653478
pandaa12/indonesia-airbnb-dataset-bandung-listings,Indonesia Airbnb Dataset: Bandung,60.5 KB,2026-08-09T18:38:01.793Z,396,21,1758,Luthfi Abdillah,https://www.kaggle.com/datasets/pandaa12/indonesia-airbnb-dataset-bandung-listings,2026-08-13T02:35:13.653516
saitejabandaruin/automated-pipeline-dataset-output,"""Global Tech & AI Startups Dataset (2020-2026)""",750.6 KB,2026-07-30T18:56:58.237Z,1100,39,3915,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/automated-pipeline-dataset-output,2026-08-13T02:35:13.653553
pilkwang/rsna-knee-llm-labels,RSNA Knee LLM-read report labels,142.2 KB,2026-08-06T10:31:34.133Z,896,10,472,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/rsna-knee-llm-labels,2026-08-13T02:35:13.653570
jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,Indian E-Commerce Sales Analytics Dataset,10.5 MB,2026-08-05T12:05:25.157Z,486,18,1271,Jatin khandelwal112,https://www.kaggle.com/datasets/jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,2026-08-13T02:35:13.653608
georgymamarin/kaggriculture-episodes,Kaggriculture Episodes,2.5 GB,2026-08-12T02:56:19.000Z,3137,34,1142,Georgy Mamarin,https://www.kaggle.com/datasets/georgymamarin/kaggriculture-episodes,2026-08-13T02:35:13.653646
kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,"College Majors 2026: Earnings, Debt, Jobs, AI",15.8 MB,2026-08-01T17:57:51.000Z,892,31,3680,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,2026-08-13T02:35:13.653688
ravaghi/wellbore-geology-prediction-artifacts,Wellbore Geology Prediction | Artifacts,2.2 GB,2026-06-04T14:39:56.717Z,6014,19,4555,Mahdi Ravaghi,https://www.kaggle.com/datasets/ravaghi/wellbore-geology-prediction-artifacts,2026-08-13T02:35:13.653704
fleongg/rogii-claude-models-pub,rogii-claude-models-pub,9.7 MB,2026-06-07T19:21:25.000Z,2737,10,1797,fle3n,https://www.kaggle.com/datasets/fleongg/rogii-claude-models-pub,2026-08-13T02:35:13.653719
debayank2024/house-price-prediction,House Price Prediction,145.3 KB,2026-07-31T17:01:46.000Z,652,20,2432,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/house-price-prediction,2026-08-13T02:35:13.653757
rishavsvault/most-streamed-artists-on-spotify,Most Streamed Artists on Spotify,36.7 KB,2026-07-24T16:55:05.213Z,3435,63,10993,Rishav,https://www.kaggle.com/datasets/rishavsvault/most-streamed-artists-on-spotify,2026-08-13T02:35:13.653796
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,316742,5972,2208445,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-08-13T02:35:13.653834
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,63854,997,350490,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-08-13T02:35:13.653864
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,51312,1451,447794,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-08-13T02:35:13.653884
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,364052,3895,1500756,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-08-13T02:35:13.653903
