ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,13591,333,53385,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-17T03:28:12.952949
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,2326,47,7340,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-17T03:28:12.952996
deeplumiere/automobile-market-analytics-dataset,Automobile Market Analytics Dataset,122.5 KB,2026-07-14T07:35:20.707Z,733,26,2672,DeepLumiere,https://www.kaggle.com/datasets/deeplumiere/automobile-market-analytics-dataset,2026-07-17T03:28:12.953029
ashyou09/apple-products-pricing-dataset-2020-2026,Apple Products Pricing Dataset (2020-2026)🍎,1.5 MB,2026-07-04T16:06:56.000Z,2251,43,7309,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/apple-products-pricing-dataset-2020-2026,2026-07-17T03:28:12.953070
ashyou09/global-budget-allocation-dataset-19362026,Global Budget Allocation Dataset (1936–2026) 🌎,288.1 KB,2026-07-11T08:11:16.587Z,1500,35,3211,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-budget-allocation-dataset-19362026,2026-07-17T03:28:12.953110
rickyjackson/quebec-housing-sales-price,Quebec Housing Sales price,90.0 KB,2026-07-12T21:05:30.000Z,494,22,1772,Ricky Jackson,https://www.kaggle.com/datasets/rickyjackson/quebec-housing-sales-price,2026-07-17T03:28:12.953145
uditjain13/neurogolf-kevali-7232-nets,NeuroGolf 2026 - Kevali 7268.48 Nets,452.5 KB,2026-07-11T08:24:05.000Z,1016,24,932,Udit Jain,https://www.kaggle.com/datasets/uditjain13/neurogolf-kevali-7232-nets,2026-07-17T03:28:12.953167
mann14/2026-fifa-world-cup,2026 FIFA World Cup,2.8 KB,2026-07-12T14:12:19.273Z,1024,26,4056,Mann Raval,https://www.kaggle.com/datasets/mann14/2026-fifa-world-cup,2026-07-17T03:28:12.953257
rewantbhriguvanshi/customer-shopping-trends-indian,Customer Shopping Trends Indian,593.6 KB,2026-07-03T12:50:06.887Z,992,30,2926,Rewant Bhriguvanshi,https://www.kaggle.com/datasets/rewantbhriguvanshi/customer-shopping-trends-indian,2026-07-17T03:28:12.953300
uditjain13/social-media-screen-time-and-mental-health-2026,"Social Media, Screen Time & Mental Health 2026",174.3 KB,2026-07-05T09:19:11.000Z,1420,41,5296,Udit Jain,https://www.kaggle.com/datasets/uditjain13/social-media-screen-time-and-mental-health-2026,2026-07-17T03:28:12.953343
sharmajicoder/used-phone-price-prediction-dataset,Used Phone Price Prediction Dataset,31.9 MB,2026-06-22T09:04:46.603Z,959,29,3118,Stable Space,https://www.kaggle.com/datasets/sharmajicoder/used-phone-price-prediction-dataset,2026-07-17T03:28:12.953379
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,4782,97,16415,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-17T03:28:12.953417
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,2813,12,893,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-07-17T03:28:12.953438
mirzayasirabdullah07/netflix-dataset,Netflix Dataset,1.9 KB,2026-06-23T11:32:10.000Z,1654,40,6564,Mirza Yasir Abdullah Baig,https://www.kaggle.com/datasets/mirzayasirabdullah07/netflix-dataset,2026-07-17T03:28:12.953476
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,358929,3890,1496942,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-17T03:28:12.953498
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,30093,416,148784,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-07-17T03:28:12.953525
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,311296,5960,2201876,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-07-17T03:28:12.953565
uditjain13/nvidia-gpu-sales-synthetic-2026,Nvidia GPU Sales Data 2026,179.0 KB,2026-07-05T19:39:05.353Z,964,37,3873,Udit Jain,https://www.kaggle.com/datasets/uditjain13/nvidia-gpu-sales-synthetic-2026,2026-07-17T03:28:12.953604
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,68926,1497,497355,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-17T03:28:12.953637
nolanbconaway/pitchfork-data,"18,393 Pitchfork Reviews",33.3 MB,2017-01-13T04:18:10.113Z,20556,469,109242,Nolan Conaway,https://www.kaggle.com/datasets/nolanbconaway/pitchfork-data,2026-07-17T03:28:12.953660
