ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,11803,283,46389,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-14T03:19:06.893270
mann14/2026-fifa-world-cup,2026 FIFA World Cup,2.8 KB,2026-07-12T14:12:19.273Z,737,21,3149,Mann Raval,https://www.kaggle.com/datasets/mann14/2026-fifa-world-cup,2026-07-14T03:19:06.893321
ashyou09/apple-products-pricing-dataset-2020-2026,Apple Products Pricing Dataset (2020-2026)🍎,1.5 MB,2026-07-04T16:06:56.000Z,1859,35,6110,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/apple-products-pricing-dataset-2020-2026,2026-07-14T03:19:06.893364
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,1387,31,4402,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-14T03:19:06.893404
rewantbhriguvanshi/customer-shopping-trends-indian,Customer Shopping Trends Indian,593.6 KB,2026-07-03T12:50:06.887Z,710,25,2099,Rewant Bhriguvanshi,https://www.kaggle.com/datasets/rewantbhriguvanshi/customer-shopping-trends-indian,2026-07-14T03:19:06.893443
uditjain13/social-media-screen-time-and-mental-health-2026,"Social Media, Screen Time & Mental Health 2026",174.3 KB,2026-07-05T09:19:11.000Z,1153,35,4338,Udit Jain,https://www.kaggle.com/datasets/uditjain13/social-media-screen-time-and-mental-health-2026,2026-07-14T03:19:06.893483
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,4296,87,14889,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-14T03:19:06.893523
uditjain13/nvidia-gpu-sales-synthetic-2026,Nvidia GPU Sales Data 2026,179.0 KB,2026-07-05T19:39:05.353Z,795,35,3373,Udit Jain,https://www.kaggle.com/datasets/uditjain13/nvidia-gpu-sales-synthetic-2026,2026-07-14T03:19:06.893562
mirzayasirabdullah07/netflix-dataset,Netflix Dataset,1.9 KB,2026-06-23T11:32:10.000Z,1388,37,5589,Mirza Yasir Abdullah Baig,https://www.kaggle.com/datasets/mirzayasirabdullah07/netflix-dataset,2026-07-14T03:19:06.893601
arjunmehta1992/chocolate-sales-in-20222023,Chocolate Sales in 2022–2023,4.6 MB,2026-06-21T03:52:16.000Z,3868,53,11553,Arjun Mehta,https://www.kaggle.com/datasets/arjunmehta1992/chocolate-sales-in-20222023,2026-07-14T03:19:06.893639
satyanshgaur1/rain-prediction-training-dataset,Rain Rate Prediction Training Dataset,64.1 MB,2026-07-05T17:54:21.000Z,618,24,2558,Satyansh Gaur,https://www.kaggle.com/datasets/satyanshgaur1/rain-prediction-training-dataset,2026-07-14T03:19:06.893680
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,357214,3889,1496406,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-14T03:19:06.893702
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,67380,1496,496928,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-14T03:19:06.893736
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,58116,993,348840,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-07-14T03:19:06.893766
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,28553,412,148463,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-07-14T03:19:06.893792
jpmiller/publicassistance,US Public Food Assistance 1 - WIC,296.9 KB,2023-04-17T20:01:05.000Z,27944,519,152778,JohnM,https://www.kaggle.com/datasets/jpmiller/publicassistance,2026-07-14T03:19:06.893818
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,1901,8,732,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-07-14T03:19:06.893839
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,309616,5958,2201089,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-07-14T03:19:06.893878
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,23234,528,90301,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-07-14T03:19:06.893914
nolanbconaway/pitchfork-data,"18,393 Pitchfork Reviews",33.3 MB,2017-01-13T04:18:10.113Z,19082,468,109166,Nolan Conaway,https://www.kaggle.com/datasets/nolanbconaway/pitchfork-data,2026-07-14T03:19:06.893939
