ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,19847,488,75956,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-28T03:24:19.977916
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,2963,54,9396,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-07-28T03:24:19.977964
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,5341,91,16749,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-28T03:24:19.978006
eshaansunthankar2/the-ultimate-fifa-world-cup-dataset-1930-2026,The Ultimate FIFA World Cup Dataset (1930 - 2026),68.6 KB,2026-07-24T04:39:45.957Z,776,23,2998,Eshaan Sunthankar,https://www.kaggle.com/datasets/eshaansunthankar2/the-ultimate-fifa-world-cup-dataset-1930-2026,2026-07-28T03:24:19.978038
uditjain13/credit-card-fraud-detection-2026,Credit Card Fraud Detection 2026,649.6 KB,2026-07-16T19:17:54.000Z,1391,30,4804,Udit Jain,https://www.kaggle.com/datasets/uditjain13/credit-card-fraud-detection-2026,2026-07-28T03:24:19.978078
vivekmali1436/banking-transactions-dataset,Banking Transactions Dataset,89.4 MB,2026-07-17T13:38:51.717Z,1247,21,3402,Vivek Mali 1436,https://www.kaggle.com/datasets/vivekmali1436/banking-transactions-dataset,2026-07-28T03:24:19.978108
ranaghulamnabi/automobile-market-dataset-vehicle-specification,Automobile Market Dataset: Vehicle Specification,122.5 KB,2026-07-16T05:55:25.000Z,1267,27,4519,Coding expert G.N,https://www.kaggle.com/datasets/ranaghulamnabi/automobile-market-dataset-vehicle-specification,2026-07-28T03:24:19.978147
rishavsvault/most-streamed-artists-on-spotify,Most Streamed Artists on Spotify,36.7 KB,2026-07-24T16:55:05.213Z,1019,23,3197,Rishav,https://www.kaggle.com/datasets/rishavsvault/most-streamed-artists-on-spotify,2026-07-28T03:24:19.978187
uditjain13/heart-disease-risk-2026,Heart Disease Risk 2026,343.5 KB,2026-07-16T19:18:02.423Z,1211,33,3898,Udit Jain,https://www.kaggle.com/datasets/uditjain13/heart-disease-risk-2026,2026-07-28T03:24:19.978226
divaadelia/superstore-sales-data,Superstore Sales Data,4.2 MB,2026-07-19T10:29:25.000Z,1228,34,3944,Diva Adelia,https://www.kaggle.com/datasets/divaadelia/superstore-sales-data,2026-07-28T03:24:19.978264
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,4902,21,1643,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-07-28T03:24:19.978285
razanihababdellatif/nyc-regents-exam-dataset,NYC Regents Exam Dataset,861.0 KB,2026-07-25T18:36:37.633Z,210,15,908,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/nyc-regents-exam-dataset,2026-07-28T03:24:19.978323
harpartapsingh13/social-media-addiction-and-mental-wellbeing-dataset,Social Media Addiction & Mental Wellbeing Dataset,55.1 KB,2026-07-11T11:50:39.627Z,1186,23,3672,Harpartap Singh,https://www.kaggle.com/datasets/harpartapsingh13/social-media-addiction-and-mental-wellbeing-dataset,2026-07-28T03:24:19.978349
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,363301,3891,1498597,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-28T03:24:19.978370
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,51099,1448,446588,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-07-28T03:24:19.978391
nasa/kepler-exoplanet-search-results,Kepler Exoplanet Search Results,1.2 MB,2017-10-10T18:26:59.497Z,29660,872,220122,NASA,https://www.kaggle.com/datasets/nasa/kepler-exoplanet-search-results,2026-07-28T03:24:19.978425
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,72900,1498,498590,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-28T03:24:19.978459
nolanbconaway/pitchfork-data,"18,393 Pitchfork Reviews",33.3 MB,2017-01-13T04:18:10.113Z,24322,471,109392,Nolan Conaway,https://www.kaggle.com/datasets/nolanbconaway/pitchfork-data,2026-07-28T03:24:19.978485
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,63539,995,349566,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-07-28T03:24:19.978514
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,33999,423,149795,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-07-28T03:24:19.978557
