ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
datascikhan/e-commerce-sales-and-customer-analytics,E-Commerce Sales Analytics Dataset,28.4 MB,2026-08-25T08:00:46.013Z,9662,205,30159,Shair Khan,https://www.kaggle.com/datasets/datascikhan/e-commerce-sales-and-customer-analytics,2026-09-20T04:41:54.729716
srisyra02/online-food-ordering-dataset,Online Food Ordering Dataset,3.6 KB,2026-08-23T15:26:25.483Z,6798,108,23540,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/online-food-ordering-dataset,2026-09-20T04:41:54.729767
dreaddevelopment/raptor-knee-maxspan,Knee MRI - Max-Span Dense Corpus,259.1 MB,2026-08-22T20:14:47.093Z,963,32,2522,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-maxspan,2026-09-20T04:41:54.729848
mobeenfatimah/student-exam-performance-and-success-dataset,Student Exam Performance &  Success Dataset,5.7 MB,2026-08-19T07:30:23.257Z,5522,97,18844,Mobeen Fatima,https://www.kaggle.com/datasets/mobeenfatimah/student-exam-performance-and-success-dataset,2026-09-20T04:41:54.729889
dreaddevelopment/raptor-knee-native384dense,Knee MRI - Native 384 Dense Corpus,259.1 MB,2026-08-23T13:17:23.333Z,368,13,954,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-native384dense,2026-09-20T04:41:54.729963
dreaddevelopment/raptor-knee-native384,Knee MRI - Native 384 Corpus,259.1 MB,2026-08-23T00:35:34.303Z,337,14,650,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-native384,2026-09-20T04:41:54.730038
dreaddevelopment/raptor-knee-widedense,Knee MRI model weights: twelve findings,518.2 MB,2026-08-23T04:12:20.703Z,1317,78,5714,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-widedense,2026-09-20T04:41:54.730112
erfan4524/e-commerce-sales-data-analysis-and-eda,E-Commerce Sales Data Analysis & EDA,2.1 MB,2026-08-28T15:12:17.000Z,4664,92,14119,Mohammad erfan Abbasnehzad,https://www.kaggle.com/datasets/erfan4524/e-commerce-sales-data-analysis-and-eda,2026-09-20T04:41:54.730151
beamhonor0911/spotify-artist-streaming-analytics-20202025,Spotify Streaming Data and Audio Feature (2020-25),4.3 MB,2026-08-28T10:51:36.203Z,2856,55,11520,Anshumaan Sharma,https://www.kaggle.com/datasets/beamhonor0911/spotify-artist-streaming-analytics-20202025,2026-09-20T04:41:54.730191
arjunsinghgangwar/titanic-survival-prediction-dataset,Titanic Passenger Survival Prediction Dataset,22.2 KB,2026-09-02T07:54:53.543Z,1503,51,5146,ARJUN SINGH GANGWAR,https://www.kaggle.com/datasets/arjunsinghgangwar/titanic-survival-prediction-dataset,2026-09-20T04:41:54.730230
zeyadmohamed26/netflix-customer-churn-and-engagement-analytics,Netflix Customer Churn & Engagement Analytics,185.6 KB,2026-09-07T11:24:25.000Z,926,30,3443,Zeyad Mohamed,https://www.kaggle.com/datasets/zeyadmohamed26/netflix-customer-churn-and-engagement-analytics,2026-09-20T04:41:54.730269
datascikhan/tiktok-shop-viral-sales-and-cac-attribution,TikTok Shop Sales Dataset,64.6 MB,2026-08-26T05:45:11.000Z,663,30,3596,Shair Khan,https://www.kaggle.com/datasets/datascikhan/tiktok-shop-viral-sales-and-cac-attribution,2026-09-20T04:41:54.730307
batudev/spotify-global-chart-totals-and-lyrics,Spotify Global Chart Totals & Lyrics,5.2 MB,2026-07-30T09:09:14.277Z,1309,25,5374,Batudev,https://www.kaggle.com/datasets/batudev/spotify-global-chart-totals-and-lyrics,2026-09-20T04:41:54.730344
arjunsinghgangwar/employees-raw-data,Employees_raw_Data,6.2 KB,2026-08-28T05:30:14.000Z,321,10,852,ARJUN SINGH GANGWAR,https://www.kaggle.com/datasets/arjunsinghgangwar/employees-raw-data,2026-09-20T04:41:54.730384
shreyashautomation/pokemon-stats-dataset,Pokemon stats dataset,44.6 KB,2026-08-24T19:33:53.000Z,613,22,2764,Shreyash Mishra,https://www.kaggle.com/datasets/shreyashautomation/pokemon-stats-dataset,2026-09-20T04:41:54.730417
parsalatifi/s-and-p-500-us-stock-market-data,S&P 500 US Stock Market Data 2026,54.4 MB,2026-09-01T14:29:57.043Z,593,25,3132,Parsa,https://www.kaggle.com/datasets/parsalatifi/s-and-p-500-us-stock-market-data,2026-09-20T04:41:54.730454
mansiaggarwal88/diabetes-risk-prediction,Diabetes Risk Prediction,322.9 KB,2026-08-13T15:38:56.197Z,4158,65,14055,Mansi Aggarwal,https://www.kaggle.com/datasets/mansiaggarwal88/diabetes-risk-prediction,2026-09-20T04:41:54.730490
pilkwang/rsna-knee-llm-labels,RSNA Knee LLM-read report labels,142.2 KB,2026-08-06T10:31:34.133Z,3988,21,2305,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/rsna-knee-llm-labels,2026-09-20T04:41:54.730506
stevenleehans/rsna-knee-llm-report-labels,RSNA Knee LLM Report Labels,416.0 KB,2026-08-09T06:16:43.867Z,4249,54,4886,stevenleehans,https://www.kaggle.com/datasets/stevenleehans/rsna-knee-llm-report-labels,2026-09-20T04:41:54.730535
danielsowah123/retail-sales-dataset,Retail Sales Dataset,1.0 MB,2026-09-07T20:29:52.073Z,416,11,1393,Daniel Sowah,https://www.kaggle.com/datasets/danielsowah123/retail-sales-dataset,2026-09-20T04:41:54.730571
