ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,8995,221,35486,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-08T03:34:21.959707
mirzayasirabdullah07/netflix-dataset,Netflix Dataset,1.9 KB,2026-06-23T11:32:10.000Z,804,26,3337,Mirza Yasir Abdullah Baig,https://www.kaggle.com/datasets/mirzayasirabdullah07/netflix-dataset,2026-07-08T03:34:21.959752
arjunmehta1992/chocolate-sales-in-20222023,Chocolate Sales in 2022–2023,4.6 MB,2026-06-21T03:52:16.000Z,3254,46,9544,Arjun Mehta,https://www.kaggle.com/datasets/arjunmehta1992/chocolate-sales-in-20222023,2026-07-08T03:34:21.959787
velvetcrystal/gta-v-worldwide-sales-and-player-analytics,GTA V Worldwide Sales & Player Analytics,1.2 MB,2026-07-02T14:22:58.043Z,340,35,1374,Vanshika,https://www.kaggle.com/datasets/velvetcrystal/gta-v-worldwide-sales-and-player-analytics,2026-07-08T03:34:21.959821
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,3461,71,11912,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-08T03:34:21.959854
okayyysidd/popular-movies-dataset,Popular_movies_dataset,907 B,2026-07-02T18:22:54.187Z,601,23,2527,Siddhant Yadav,https://www.kaggle.com/datasets/okayyysidd/popular-movies-dataset,2026-07-08T03:34:21.959889
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,21492,495,83517,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-07-08T03:34:21.959923
uditjain13/social-media-screen-time-and-mental-health-2026,"Social Media, Screen Time & Mental Health 2026",174.3 KB,2026-07-05T09:19:11.000Z,556,24,2243,Udit Jain,https://www.kaggle.com/datasets/uditjain13/social-media-screen-time-and-mental-health-2026,2026-07-08T03:34:21.959957
swaptr/fifa-wc-2026-teams,FIFA World Cup 2026 Team Data,7.5 KB,2026-07-07T18:01:01.023Z,1387,27,4878,Swapnil Tripathi,https://www.kaggle.com/datasets/swaptr/fifa-wc-2026-teams,2026-07-08T03:34:21.959983
mominullptr/fifa-world-cup-2026-dataset,FIFA World Cup 2026 Dataset- Live & Updated Stats,362.4 KB,2026-07-08T00:35:17.000Z,2676,50,8739,Mominul Islam,https://www.kaggle.com/datasets/mominullptr/fifa-world-cup-2026-dataset,2026-07-08T03:34:21.960013
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,356197,3885,1495506,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-08T03:34:21.960032
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,66551,1492,496257,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-08T03:34:21.960062
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,57348,990,348448,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-07-08T03:34:21.960099
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,27798,407,147976,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-07-08T03:34:21.960122
jpmiller/publicassistance,US Public Food Assistance 1 - WIC,296.9 KB,2023-04-17T20:01:05.000Z,27008,518,152608,JohnM,https://www.kaggle.com/datasets/jpmiller/publicassistance,2026-07-08T03:34:21.960144
shree0910/india-tech-job-market-2026-23k-records,💼 Indian Tech Job Market 2026 | 23K+ Records,2.7 MB,2026-06-15T04:34:13.467Z,1137,24,3561,Shreyash Gade,https://www.kaggle.com/datasets/shree0910/india-tech-job-market-2026-23k-records,2026-07-08T03:34:21.960178
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,308595,5954,2199589,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-07-08T03:34:21.960211
nolanbconaway/pitchfork-data,"18,393 Pitchfork Reviews",33.3 MB,2017-01-13T04:18:10.113Z,18363,466,109054,Nolan Conaway,https://www.kaggle.com/datasets/nolanbconaway/pitchfork-data,2026-07-08T03:34:21.960234
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,44995,1442,445125,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-07-08T03:34:21.960252
nasa/kepler-exoplanet-search-results,Kepler Exoplanet Search Results,1.2 MB,2017-10-10T18:26:59.497Z,23648,870,219154,NASA,https://www.kaggle.com/datasets/nasa/kepler-exoplanet-search-results,2026-07-08T03:34:21.960279
