ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,15342,358,59665,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-06-23T04:13:54.672525
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,2402,54,9306,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-06-23T04:13:54.672577
sharmajicoder/used-car-price-prediction-dataset,Used Car Price Prediction Dataset,49.3 MB,2026-06-13T17:05:48.793Z,1655,33,5326,Stable Space,https://www.kaggle.com/datasets/sharmajicoder/used-car-price-prediction-dataset,2026-06-23T04:13:54.672618
dreamtensor/fifa-player-performance-analysis,FIFA Transfer Market Analytics Dataset,63.2 KB,2026-06-11T18:46:20.000Z,675,21,2373,Mubeen,https://www.kaggle.com/datasets/dreamtensor/fifa-player-performance-analysis,2026-06-23T04:13:54.672649
mmumairkhattak/e-commerce-orders-dataset-2026-scra,E-commerce Orders Dataset 2026 | SCRA,1.7 MB,2026-06-11T06:56:56.000Z,1908,42,6725,Muhammad Umair,https://www.kaggle.com/datasets/mmumairkhattak/e-commerce-orders-dataset-2026-scra,2026-06-23T04:13:54.672687
swaptr/fifa-wc-2026-players,FIFA World Cup 2026 Player Data,49.6 KB,2026-06-22T19:30:29.000Z,944,29,3656,Swapnil Tripathi,https://www.kaggle.com/datasets/swaptr/fifa-wc-2026-players,2026-06-23T04:13:54.672718
raviiyadavv/house-price-predecition,House_Price_Predecition,19.6 KB,2026-06-15T15:37:47.657Z,950,22,3368,RaviiYadav,https://www.kaggle.com/datasets/raviiyadavv/house-price-predecition,2026-06-23T04:13:54.672756
mominullptr/fifa-world-cup-2026-dataset,FIFA World Cup 2026 Dataset,51.1 KB,2026-06-22T19:44:33.407Z,813,35,3595,Mominul Islam,https://www.kaggle.com/datasets/mominullptr/fifa-world-cup-2026-dataset,2026-06-23T04:13:54.672790
sergionefedov/global-football-transfer-market-2010-2026,Global Football Transfer Market 2010-2026,317.6 KB,2026-06-15T21:44:50.000Z,589,29,2119,Sergey Nefedov,https://www.kaggle.com/datasets/sergionefedov/global-football-transfer-market-2010-2026,2026-06-23T04:13:54.672829
nalisha/netflix-movies-and-tv-shows-data-analysis,Netflix Movies and TV Shows Data Analysis,1.7 MB,2026-05-28T11:58:01.000Z,3951,88,15258,Aleesha Nadeem,https://www.kaggle.com/datasets/nalisha/netflix-movies-and-tv-shows-data-analysis,2026-06-23T04:13:54.672866
kulkarniparth09/fifa-world-cup-complete-dataset-19302026,FIFA World Cup Complete Dataset: 1930–2026,11.7 KB,2026-06-07T06:29:15.677Z,2647,57,8920,Parth,https://www.kaggle.com/datasets/kulkarniparth09/fifa-world-cup-complete-dataset-19302026,2026-06-23T04:13:54.672906
shivasingh4945/enhanced-breast-cancer-diagnostic-dataset,Enhanced Breast Cancer Diagnostic Dataset,812.1 KB,2026-06-10T17:31:46.000Z,660,24,2929,Shiva Singh,https://www.kaggle.com/datasets/shivasingh4945/enhanced-breast-cancer-diagnostic-dataset,2026-06-23T04:13:54.672971
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,1353,35,4783,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-06-23T04:13:54.673009
