ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,17880,435,68952,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-24T03:32:33.585463
uditjain13/credit-card-fraud-detection-2026,Credit Card Fraud Detection 2026,649.6 KB,2026-07-16T19:17:54.000Z,992,25,3469,Udit Jain,https://www.kaggle.com/datasets/uditjain13/credit-card-fraud-detection-2026,2026-07-24T03:32:33.585511
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,4347,74,13814,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-24T03:32:33.585552
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,1763,32,5707,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-07-24T03:32:33.585592
uditjain13/heart-disease-risk-2026,Heart Disease Risk 2026,343.5 KB,2026-07-16T19:18:02.423Z,909,29,2771,Udit Jain,https://www.kaggle.com/datasets/uditjain13/heart-disease-risk-2026,2026-07-24T03:32:33.585658
dreamtensor/social-media-sentiment-analysisai-trend-2026,Social Media Sentiment Analysis: AI Trends 2026,109.8 KB,2026-07-11T17:56:27.943Z,793,23,3434,Mubeen,https://www.kaggle.com/datasets/dreamtensor/social-media-sentiment-analysisai-trend-2026,2026-07-24T03:32:33.585695
razanihababdellatif/bank-marketing-and-customer-behavior-dataset,Bank Marketing & Customer Behavior Dataset,478.2 KB,2026-07-15T14:10:37.447Z,1064,29,4348,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/bank-marketing-and-customer-behavior-dataset,2026-07-24T03:32:33.585735
deeplumiere/automobile-market-analytics-dataset,Automobile Market Analytics Dataset,122.5 KB,2026-07-14T07:35:20.707Z,1288,35,4680,DeepLumiere,https://www.kaggle.com/datasets/deeplumiere/automobile-market-analytics-dataset,2026-07-24T03:32:33.585767
nalisha/apple-products-pricing-dataset-20202026,🍎 Apple Products Pricing Dataset (2020–2026),1.5 MB,2026-07-05T10:54:43.437Z,669,22,2069,Aleesha Nadeem,https://www.kaggle.com/datasets/nalisha/apple-products-pricing-dataset-20202026,2026-07-24T03:32:33.585807
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,4217,19,1424,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-07-24T03:32:33.585829
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,5678,109,19252,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-24T03:32:33.585866
ashyou09/global-budget-allocation-dataset-19362026,Global Budget Allocation Dataset (1936–2026) 🌎,288.1 KB,2026-07-11T08:11:16.587Z,2758,47,4796,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-budget-allocation-dataset-19362026,2026-07-24T03:32:33.585905
ashyou09/apple-products-pricing-dataset-2020-2026,Apple Products Pricing Dataset (2020-2026)🍎,1.5 MB,2026-07-04T16:06:56.000Z,2772,51,8861,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/apple-products-pricing-dataset-2020-2026,2026-07-24T03:32:33.585943
sunil123kumar/netflix-movies-and-tv-shows-dataset,Netflix Movies and TV Shows  Dataset,1.3 MB,2026-07-06T02:57:00.363Z,1578,33,5717,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/netflix-movies-and-tv-shows-dataset,2026-07-24T03:32:33.585981
ranaghulamnabi/automobile-market-dataset-vehicle-specification,Automobile Market Dataset: Vehicle Specification,122.5 KB,2026-07-16T05:55:25.000Z,988,23,3458,Coding expert G.N,https://www.kaggle.com/datasets/ranaghulamnabi/automobile-market-dataset-vehicle-specification,2026-07-24T03:32:33.586019
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,363149,3890,1498050,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-24T03:32:33.586041
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,51060,1447,446363,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-07-24T03:32:33.586062
nasa/kepler-exoplanet-search-results,Kepler Exoplanet Search Results,1.2 MB,2017-10-10T18:26:59.497Z,29633,872,219946,NASA,https://www.kaggle.com/datasets/nasa/kepler-exoplanet-search-results,2026-07-24T03:32:33.586095
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,72803,1497,498127,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-24T03:32:33.586127
nolanbconaway/pitchfork-data,"18,393 Pitchfork Reviews",33.3 MB,2017-01-13T04:18:10.113Z,24306,471,109331,Nolan Conaway,https://www.kaggle.com/datasets/nolanbconaway/pitchfork-data,2026-07-24T03:32:33.586150
