ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,15951,382,61522,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-21T03:32:11.307372
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,3492,63,10889,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-21T03:32:11.307446
rickyjackson/quebec-housing-sales-price,Quebec Housing Sales price,90.0 KB,2026-07-12T21:05:30.000Z,565,22,1997,Ricky Jackson,https://www.kaggle.com/datasets/rickyjackson/quebec-housing-sales-price,2026-07-21T03:32:11.307486
deeplumiere/automobile-market-analytics-dataset,Automobile Market Analytics Dataset,122.5 KB,2026-07-14T07:35:20.707Z,1059,29,3881,DeepLumiere,https://www.kaggle.com/datasets/deeplumiere/automobile-market-analytics-dataset,2026-07-21T03:32:11.307517
razanihababdellatif/bank-marketing-and-customer-behavior-dataset,Bank Marketing & Customer Behavior Dataset,478.2 KB,2026-07-15T14:10:37.447Z,825,26,3311,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/bank-marketing-and-customer-behavior-dataset,2026-07-21T03:32:11.307557
ashyou09/global-budget-allocation-dataset-19362026,Global Budget Allocation Dataset (1936–2026) 🌎,288.1 KB,2026-07-11T08:11:16.587Z,2168,43,4152,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-budget-allocation-dataset-19362026,2026-07-21T03:32:11.307599
sunil123kumar/netflix-movies-and-tv-shows-dataset,Netflix Movies and TV Shows  Dataset,1.3 MB,2026-07-06T02:57:00.363Z,1378,29,5040,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/netflix-movies-and-tv-shows-dataset,2026-07-21T03:32:11.307638
ashyou09/apple-products-pricing-dataset-2020-2026,Apple Products Pricing Dataset (2020-2026)🍎,1.5 MB,2026-07-04T16:06:56.000Z,2564,46,8231,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/apple-products-pricing-dataset-2020-2026,2026-07-21T03:32:11.307677
uditjain13/social-media-screen-time-and-mental-health-2026,"Social Media, Screen Time & Mental Health 2026",174.3 KB,2026-07-05T09:19:11.000Z,1672,45,6094,Udit Jain,https://www.kaggle.com/datasets/uditjain13/social-media-screen-time-and-mental-health-2026,2026-07-21T03:32:11.307716
kylefengkfeng209/how-fast-do-you-forget-13m-duolingo-sessions,How Fast Do You Forget? 13M Duolingo Sessions,17.1 MB,2026-07-12T06:33:16.000Z,596,32,2844,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/how-fast-do-you-forget-13m-duolingo-sessions,2026-07-21T03:32:11.307760
ashyou09/google-play-store-apps-2026-edition,Google Play Store Apps (2026 Edition),247.7 KB,2026-07-04T06:38:03.000Z,830,21,2764,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/google-play-store-apps-2026-edition,2026-07-21T03:32:11.307799
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,3640,18,1207,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-07-21T03:32:11.307820
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,959,21,2944,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-07-21T03:32:11.307859
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,5271,103,17912,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-21T03:32:11.307898
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,361913,3891,1497465,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-21T03:32:11.307920
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,49966,1447,446135,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-07-21T03:32:11.307942
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,71663,1497,497712,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-21T03:32:11.307977
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,32829,418,149105,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-07-21T03:32:11.308003
rewantbhriguvanshi/customer-shopping-trends-indian,Customer Shopping Trends Indian,593.6 KB,2026-07-03T12:50:06.887Z,1258,31,3680,Rewant Bhriguvanshi,https://www.kaggle.com/datasets/rewantbhriguvanshi/customer-shopping-trends-indian,2026-07-21T03:32:11.308040
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,314247,5962,2202783,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-07-21T03:32:11.308076
