ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,10635,255,41620,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-06-13T04:41:14.294121
anujsaha0123456789/e-commerce-product-intelligence-dataset,E-Commerce Product Intelligence Dataset,7.2 MB,2026-06-07T17:56:36.823Z,1257,35,4842,Anuj Saha,https://www.kaggle.com/datasets/anujsaha0123456789/e-commerce-product-intelligence-dataset,2026-06-13T04:41:14.294212
kulkarniparth09/fifa-world-cup-complete-dataset-19302026,FIFA World Cup Complete Dataset: 1930–2026,11.7 KB,2026-06-07T06:29:15.677Z,1282,35,4224,Parth,https://www.kaggle.com/datasets/kulkarniparth09/fifa-world-cup-complete-dataset-19302026,2026-06-13T04:41:14.294253
sateasinpedas/global-geo-economic-stress-indicators,Global Geo-Economic Stress Indicators,1.1 MB,2026-06-07T15:37:49.907Z,824,25,3401,sateasinpedas,https://www.kaggle.com/datasets/sateasinpedas/global-geo-economic-stress-indicators,2026-06-13T04:41:14.294280
muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,Ai Impact in future on jobs market in 2030,105.8 KB,2026-05-24T15:12:54.047Z,3363,75,12459,Muhammad Waqas,https://www.kaggle.com/datasets/muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,2026-06-13T04:41:14.294320
nalisha/netflix-movies-and-tv-shows-data-analysis,Netflix Movies and TV Shows Data Analysis,1.7 MB,2026-05-28T11:58:01.000Z,2406,62,9341,Aleesha Nadeem,https://www.kaggle.com/datasets/nalisha/netflix-movies-and-tv-shows-data-analysis,2026-06-13T04:41:14.294360
prashant0kumar7/top-500-movies-ranked-by-combined-critics,"Top 500 Movies Ranked by IMDb, Rotten & Letterboxd",109.3 KB,2026-05-17T11:53:15.053Z,1470,26,4491,Prashant Kumar,https://www.kaggle.com/datasets/prashant0kumar7/top-500-movies-ranked-by-combined-critics,2026-06-13T04:41:14.294400
sergionefedov/global-climate-and-energy-transition-2000-2026,Global Climate & Energy Transition 2000-2026,141.4 KB,2026-06-03T15:35:43.000Z,694,26,2836,Sergey Nefedov,https://www.kaggle.com/datasets/sergionefedov/global-climate-and-energy-transition-2000-2026,2026-06-13T04:41:14.294439
shambhurajejagadale/student-performance-prediction-dataset,Student Performance Prediction Dataset,82.3 KB,2026-05-09T15:49:58.877Z,5447,122,21179,Shambhuraje Jagadale,https://www.kaggle.com/datasets/shambhurajejagadale/student-performance-prediction-dataset,2026-06-13T04:41:14.294478
serkantysz/490k-spotify-song-audio-embeddings-and-metadata,490K Spotify Song Audio Embeddings & Metadata,2.4 GB,2026-06-03T13:45:57.807Z,575,27,2975,Serkan Tüysüz,https://www.kaggle.com/datasets/serkantysz/490k-spotify-song-audio-embeddings-and-metadata,2026-06-13T04:41:14.294517
shivasingh4945/ai-impact-on-jobs-and-layoff-risk-dataset,AI Impact on Jobs and Layoff Risk Dataset,317.8 KB,2026-06-05T12:59:51.000Z,761,34,2921,Shiva Singh,https://www.kaggle.com/datasets/shivasingh4945/ai-impact-on-jobs-and-layoff-risk-dataset,2026-06-13T04:41:14.294556
ibrahimqasimi/marvel-dc-comic-characters-database,Marvel + DC Comic Characters Database,601.8 KB,2026-06-01T01:16:27.117Z,355,26,1515,Muhammad Ibrahim Qasmi,https://www.kaggle.com/datasets/ibrahimqasimi/marvel-dc-comic-characters-database,2026-06-13T04:41:14.294586
sinryurifal/dataset-komentar-tiktok-mbg-makan-bergizi-gratis,Dataset Komentar TikTok MBG (Makan Bergizi Gratis),12.6 MB,2026-05-26T19:59:30.000Z,927,21,2420,SinRyuRifal,https://www.kaggle.com/datasets/sinryurifal/dataset-komentar-tiktok-mbg-makan-bergizi-gratis,2026-06-13T04:41:14.294624
ashyou09/global-data-center-and-ai-waterelectricity-usage,Global Data Center & AI Water/Electricity Usage,2.9 MB,2026-06-10T17:04:05.423Z,608,25,2493,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-data-center-and-ai-waterelectricity-usage,2026-06-13T04:41:14.294663
shivasingh4945/student-social-media-and-mental-health-impact,Student Social Media & Mental Health Impact,67.1 KB,2026-06-04T14:31:28.733Z,1018,28,3452,Shiva Singh,https://www.kaggle.com/datasets/shivasingh4945/student-social-media-and-mental-health-impact,2026-06-13T04:41:14.294702
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,306710,5941,2192502,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-06-13T04:41:14.294741
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,65776,1486,493388,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-06-13T04:41:14.294775
dansbecker/powerlifting-database,powerlifting-database,8.8 MB,2019-04-30T21:07:41.000Z,27325,404,146169,DanB,https://www.kaggle.com/datasets/dansbecker/powerlifting-database,2026-06-13T04:41:14.294800
jpmiller/publicassistance,US Public Food Assistance 1 - WIC,296.9 KB,2023-04-17T20:01:05.000Z,26591,516,152114,JohnM,https://www.kaggle.com/datasets/jpmiller/publicassistance,2026-06-13T04:41:14.294823
nasa/kepler-exoplanet-search-results,Kepler Exoplanet Search Results,1.2 MB,2017-10-10T18:26:59.497Z,23228,863,217671,NASA,https://www.kaggle.com/datasets/nasa/kepler-exoplanet-search-results,2026-06-13T04:41:14.294855
