ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,11385,275,44559,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-06-15T05:19:34.518560
muhammadmusharraf444/used-car-price-prediction-dataset,Used Car Price Prediction Dataset,11.9 KB,2026-06-11T19:44:23.573Z,797,22,2796,Muhammad          Musharraf,https://www.kaggle.com/datasets/muhammadmusharraf444/used-car-price-prediction-dataset,2026-06-15T05:19:34.518613
kulkarniparth09/fifa-world-cup-complete-dataset-19302026,FIFA World Cup Complete Dataset: 1930–2026,11.7 KB,2026-06-07T06:29:15.677Z,1640,40,5517,Parth,https://www.kaggle.com/datasets/kulkarniparth09/fifa-world-cup-complete-dataset-19302026,2026-06-15T05:19:34.518651
sateasinpedas/global-geo-economic-stress-indicators,Global Geo-Economic Stress Indicators,1.1 MB,2026-06-07T15:37:49.907Z,873,25,3541,sateasinpedas,https://www.kaggle.com/datasets/sateasinpedas/global-geo-economic-stress-indicators,2026-06-15T05:19:34.518677
ashyou09/global-data-center-and-ai-waterelectricity-usage,Global Data Center & AI Water/Electricity Usage,2.9 MB,2026-06-10T17:04:05.423Z,664,28,2877,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-data-center-and-ai-waterelectricity-usage,2026-06-15T05:19:34.518716
anujsaha0123456789/e-commerce-product-intelligence-dataset,E-Commerce Product Intelligence Dataset,7.2 MB,2026-06-07T17:56:36.823Z,1421,37,5497,Anuj Saha,https://www.kaggle.com/datasets/anujsaha0123456789/e-commerce-product-intelligence-dataset,2026-06-15T05:19:34.518750
nalisha/netflix-movies-and-tv-shows-data-analysis,Netflix Movies and TV Shows Data Analysis,1.7 MB,2026-05-28T11:58:01.000Z,2694,70,10429,Aleesha Nadeem,https://www.kaggle.com/datasets/nalisha/netflix-movies-and-tv-shows-data-analysis,2026-06-15T05:19:34.518788
prashant0kumar7/top-500-movies-ranked-by-combined-critics,"Top 500 Movies Ranked by IMDb, Rotten & Letterboxd",109.3 KB,2026-05-17T11:53:15.053Z,1617,26,4716,Prashant Kumar,https://www.kaggle.com/datasets/prashant0kumar7/top-500-movies-ranked-by-combined-critics,2026-06-15T05:19:34.518840
muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,Ai Impact in future on jobs market in 2030,105.8 KB,2026-05-24T15:12:54.047Z,3591,81,13292,Muhammad Waqas,https://www.kaggle.com/datasets/muhammadwaqas023/ai-impact-in-future-on-jobs-market-in-2030,2026-06-15T05:19:34.518879
shambhurajejagadale/student-performance-prediction-dataset,Student Performance Prediction Dataset,82.3 KB,2026-05-09T15:49:58.877Z,5727,131,22273,Shambhuraje Jagadale,https://www.kaggle.com/datasets/shambhurajejagadale/student-performance-prediction-dataset,2026-06-15T05:19:34.518919
