ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,8346,160,26780,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-08-10T02:24:58.734964
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,2745,57,9936,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-08-10T02:24:58.735003
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,9265,162,28921,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-08-10T02:24:58.735033
kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,"College Majors 2026: Earnings, Debt, Jobs, AI",15.8 MB,2026-08-01T17:57:51.000Z,687,28,2856,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,2026-08-10T02:24:58.735063
laxmikantaroy/fifa-world-cup-all-matches-19302026,FIFA World Cup All Matches (1930–2026),22.2 KB,2026-08-04T21:13:01.163Z,839,27,2937,Laxmikanta Roy,https://www.kaggle.com/datasets/laxmikantaroy/fifa-world-cup-all-matches-19302026,2026-08-10T02:24:58.735092
rishavsvault/most-streamed-artists-on-spotify,Most Streamed Artists on Spotify,36.7 KB,2026-07-24T16:55:05.213Z,3236,59,10345,Rishav,https://www.kaggle.com/datasets/rishavsvault/most-streamed-artists-on-spotify,2026-08-10T02:24:58.735121
rupsarroy/96-years-of-commonwealth-games-history-19302026,96 Years of Commonwealth Games History (1930–2026),220.5 KB,2026-08-06T13:59:05.573Z,270,27,1030,rupsa roy,https://www.kaggle.com/datasets/rupsarroy/96-years-of-commonwealth-games-history-19302026,2026-08-10T02:24:58.735149
saitejabandaruin/automated-pipeline-dataset-output,"""Global Tech & AI Startups Dataset (2020-2026)""",750.6 KB,2026-07-30T18:56:58.237Z,804,31,2805,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/automated-pipeline-dataset-output,2026-08-10T02:24:58.735178
georgymamarin/kaggriculture-episodes,Kaggriculture Episodes,1.8 GB,2026-08-10T01:36:53.000Z,2171,29,884,Georgy Mamarin,https://www.kaggle.com/datasets/georgymamarin/kaggriculture-episodes,2026-08-10T02:24:58.735225
kylefengkfeng209/most-streamed-spotify-songs-2025,Most Streamed Spotify Songs 2025,24.2 KB,2026-07-15T08:02:18.000Z,1444,40,5215,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/most-streamed-spotify-songs-2025,2026-08-10T02:24:58.735251
kylefengkfeng209/sleep-vs-gpa-in-college,Sleep vs. GPA in College,20.5 KB,2026-07-15T06:51:48.000Z,1084,29,4256,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/sleep-vs-gpa-in-college,2026-08-10T02:24:58.735280
ravaghi/wellbore-geology-prediction-artifacts,Wellbore Geology Prediction | Artifacts,2.2 GB,2026-06-04T14:39:56.717Z,5997,19,4469,Mahdi Ravaghi,https://www.kaggle.com/datasets/ravaghi/wellbore-geology-prediction-artifacts,2026-08-10T02:24:58.735292
fleongg/rogii-claude-models-pub,rogii-claude-models-pub,9.7 MB,2026-06-07T19:21:25.000Z,2726,10,1769,fle3n,https://www.kaggle.com/datasets/fleongg/rogii-claude-models-pub,2026-08-10T02:24:58.735304
phongnguyn23021656/koolbox-offline,koolbox offline,51.9 MB,2025-12-05T02:34:36.197Z,1808,7,1508,Phong Nguyễn 23021656,https://www.kaggle.com/datasets/phongnguyn23021656/koolbox-offline,2026-08-10T02:24:58.735316
uditjain13/heart-disease-risk-2026,Heart Disease Risk 2026,343.5 KB,2026-07-16T19:18:02.423Z,2295,56,7722,Udit Jain,https://www.kaggle.com/datasets/uditjain13/heart-disease-risk-2026,2026-08-10T02:24:58.735345
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,316540,5970,2207643,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-08-10T02:24:58.735374
uditjain13/ai-and-data-science-job-salaries-2026,AI & Data Science Job Salaries 2026,164.2 KB,2026-07-16T19:14:25.097Z,1152,26,3929,Udit Jain,https://www.kaggle.com/datasets/uditjain13/ai-and-data-science-job-salaries-2026,2026-08-10T02:24:58.735402
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,63795,997,350306,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-08-10T02:24:58.735426
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,51275,1451,447536,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-08-10T02:24:58.735441
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,363894,3895,1500374,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-08-10T02:24:58.735456
