ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,4250,98,15268,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-08-14T02:33:12.950464
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,10191,197,32650,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-08-14T02:33:12.950514
saitejabandaruin/global-restaurant-delivery-intelligence,Global Restaurant & Food Delivery Intelligence,3.2 MB,2026-08-11T00:29:06.007Z,786,31,2740,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/global-restaurant-delivery-intelligence,2026-08-14T02:33:12.950555
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,10543,180,32938,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-08-14T02:33:12.950623
srisyra02/spotify-music-artist-streaming-analytics,Spotify Music Artist Streaming Analytics,22.9 KB,2026-08-07T03:20:03.313Z,1145,23,3779,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/spotify-music-artist-streaming-analytics,2026-08-14T02:33:12.950665
laxmikantaroy/fifa-world-cup-all-matches-19302026,FIFA World Cup All Matches (1930–2026),22.2 KB,2026-08-04T21:13:01.163Z,1233,31,4264,Laxmikanta Roy,https://www.kaggle.com/datasets/laxmikantaroy/fifa-world-cup-all-matches-19302026,2026-08-14T02:33:12.950707
shakhnoza12/gold-price-analysis-20002026,Gold Price Analysis (2000–2026),104.3 KB,2026-07-23T12:33:38.433Z,1115,28,4010,Shakhnoza12_,https://www.kaggle.com/datasets/shakhnoza12/gold-price-analysis-20002026,2026-08-14T02:33:12.950742
pandaa12/indonesia-airbnb-dataset-bandung-listings,Indonesia Airbnb Dataset: Bandung,60.5 KB,2026-08-09T18:38:01.793Z,425,21,1831,Luthfi Abdillah,https://www.kaggle.com/datasets/pandaa12/indonesia-airbnb-dataset-bandung-listings,2026-08-14T02:33:12.950780
saitejabandaruin/automated-pipeline-dataset-output,"""Global Tech & AI Startups Dataset (2020-2026)""",750.6 KB,2026-07-30T18:56:58.237Z,1194,42,4280,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/automated-pipeline-dataset-output,2026-08-14T02:33:12.950819
georgymamarin/kaggriculture-episodes,Kaggriculture Episodes,3.1 GB,2026-08-13T09:59:40.037Z,3511,37,1244,Georgy Mamarin,https://www.kaggle.com/datasets/georgymamarin/kaggriculture-episodes,2026-08-14T02:33:12.950858
debayank2024/house-price-prediction,House Price Prediction,145.3 KB,2026-07-31T17:01:46.000Z,936,26,3380,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/house-price-prediction,2026-08-14T02:33:12.950898
kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,"College Majors 2026: Earnings, Debt, Jobs, AI",15.8 MB,2026-08-01T17:57:51.000Z,942,33,3886,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,2026-08-14T02:33:12.950941
jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,Indian E-Commerce Sales Analytics Dataset,10.5 MB,2026-08-05T12:05:25.157Z,684,21,1841,Jatin khandelwal112,https://www.kaggle.com/datasets/jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,2026-08-14T02:33:12.950980
ravaghi/wellbore-geology-prediction-artifacts,Wellbore Geology Prediction | Artifacts,2.2 GB,2026-06-04T14:39:56.717Z,6021,19,4565,Mahdi Ravaghi,https://www.kaggle.com/datasets/ravaghi/wellbore-geology-prediction-artifacts,2026-08-14T02:33:12.950997
fleongg/rogii-claude-models-pub,rogii-claude-models-pub,9.7 MB,2026-06-07T19:21:25.000Z,2745,10,1798,fle3n,https://www.kaggle.com/datasets/fleongg/rogii-claude-models-pub,2026-08-14T02:33:12.951014
kylefengkfeng209/most-streamed-spotify-songs-2025,Most Streamed Spotify Songs 2025,24.2 KB,2026-07-15T08:02:18.000Z,1670,40,5995,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/most-streamed-spotify-songs-2025,2026-08-14T02:33:12.951048
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,8450,28,2596,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-08-14T02:33:12.951070
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,316775,5974,2208654,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-08-14T02:33:12.951109
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,63877,998,350540,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-08-14T02:33:12.951138
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,51327,1451,447859,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-08-14T02:33:12.951159
