ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
laveshjadon/ai-impact-on-students,Impact of Ai on Students,1.1 MB,2026-05-10T23:12:10.000Z,17574,408,67847,Nagi sisiro,https://www.kaggle.com/datasets/laveshjadon/ai-impact-on-students,2026-06-27T04:09:55.064427
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,3901,82,15423,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-06-27T04:09:55.064482
sharmajicoder/used-car-price-prediction-dataset,Used Car Price Prediction Dataset,49.3 MB,2026-06-13T17:05:48.793Z,2361,45,7775,Stable Space,https://www.kaggle.com/datasets/sharmajicoder/used-car-price-prediction-dataset,2026-06-27T04:09:55.064525
mmumairkhattak/e-commerce-orders-dataset-2026-scra,E-commerce Orders Dataset 2026 | SCRA,1.7 MB,2026-06-11T06:56:56.000Z,2356,45,8341,Muhammad Umair,https://www.kaggle.com/datasets/mmumairkhattak/e-commerce-orders-dataset-2026-scra,2026-06-27T04:09:55.064565
nalisha/netflix-movies-and-tv-shows-data-analysis,Netflix Movies and TV Shows Data Analysis,1.7 MB,2026-05-28T11:58:01.000Z,4583,94,17579,Aleesha Nadeem,https://www.kaggle.com/datasets/nalisha/netflix-movies-and-tv-shows-data-analysis,2026-06-27T04:09:55.064613
mominullptr/fifa-world-cup-2026-dataset,FIFA World Cup 2026 - Live Results & Updated Stats,65.9 KB,2026-06-25T16:43:27.000Z,1236,40,5328,Mominul Islam,https://www.kaggle.com/datasets/mominullptr/fifa-world-cup-2026-dataset,2026-06-27T04:09:55.064697
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,1808,44,6321,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-06-27T04:09:55.064744
swaptr/fifa-wc-2026-players,FIFA World Cup 2026 Player Data,55.5 KB,2026-06-25T19:01:56.673Z,1225,36,4679,Swapnil Tripathi,https://www.kaggle.com/datasets/swaptr/fifa-wc-2026-players,2026-06-27T04:09:55.064777
rupsarroy/heatwave-dataset-rajasthan-india-2006-2025,"Heatwave Dataset (Rajasthan, India, 2006-2025)",1.3 MB,2026-06-18T08:37:30.717Z,419,27,1993,rupsa roy,https://www.kaggle.com/datasets/rupsarroy/heatwave-dataset-rajasthan-india-2006-2025,2026-06-27T04:09:55.064816
lalit7881/comprehensive-car-market-analysis,Comprehensive Car Market Analysis,743.9 KB,2026-06-16T05:48:24.653Z,717,20,2986,Lalit sonawane,https://www.kaggle.com/datasets/lalit7881/comprehensive-car-market-analysis,2026-06-27T04:09:55.064856
arjunmehta1992/chocolate-sales-in-20222023,Chocolate Sales in 2022–2023,4.6 MB,2026-06-21T03:52:16.000Z,1068,21,3224,Arjun Mehta,https://www.kaggle.com/datasets/arjunmehta1992/chocolate-sales-in-20222023,2026-06-27T04:09:55.064897
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,307809,5947,2196784,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-06-27T04:09:55.064937
velvetcrystal/fifa-world-cup-2026-complete-tournament-statistics,FIFA World Cup 2026 Complete Tournament Statistics,126.2 KB,2026-06-20T09:51:39.000Z,550,35,2257,Vanshika,https://www.kaggle.com/datasets/velvetcrystal/fifa-world-cup-2026-complete-tournament-statistics,2026-06-27T04:09:55.064971
raviiyadavv/house-price-predecition,House_Price_Predecition,19.6 KB,2026-06-15T15:37:47.657Z,1356,25,4720,RaviiYadav,https://www.kaggle.com/datasets/raviiyadavv/house-price-predecition,2026-06-27T04:09:55.065010
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,355533,3877,1493813,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-06-27T04:09:55.065032
nasa/kepler-exoplanet-search-results,Kepler Exoplanet Search Results,1.2 MB,2017-10-10T18:26:59.497Z,23449,865,218570,NASA,https://www.kaggle.com/datasets/nasa/kepler-exoplanet-search-results,2026-06-27T04:09:55.065066
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,66176,1491,494927,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-06-27T04:09:55.065101
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,44798,1440,444363,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-06-27T04:09:55.065122
nolanbconaway/pitchfork-data,"18,393 Pitchfork Reviews",33.3 MB,2017-01-13T04:18:10.113Z,18173,464,108856,Nolan Conaway,https://www.kaggle.com/datasets/nolanbconaway/pitchfork-data,2026-06-27T04:09:55.065147
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,57073,985,347654,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-06-27T04:09:55.065174
