ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
datascikhan/e-commerce-sales-and-customer-analytics,🛒 E-Commerce Sales Analytics Dataset,28.4 MB,2026-08-25T08:00:46.013Z,1378,32,4140,Shair Khan,https://www.kaggle.com/datasets/datascikhan/e-commerce-sales-and-customer-analytics,2026-09-01T04:52:03.901714
dreaddevelopment/raptor-knee-widedense,Knee MRI model weights: twelve findings,518.2 MB,2026-08-23T04:12:20.703Z,514,29,1900,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-widedense,2026-09-01T04:52:03.901812
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,9626,234,34852,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-09-01T04:52:03.901860
dreaddevelopment/raptor-knee-maxspan,Knee MRI - Max-Span Dense Corpus,259.1 MB,2026-08-22T20:14:47.093Z,323,10,613,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-maxspan,2026-09-01T04:52:03.901946
stevenleehans/rsna-knee-llm-report-labels,RSNA Knee LLM Report Labels,416.0 KB,2026-08-09T06:16:43.867Z,2509,38,2846,stevenleehans,https://www.kaggle.com/datasets/stevenleehans/rsna-knee-llm-report-labels,2026-09-01T04:52:03.901996
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,16991,327,54747,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-09-01T04:52:03.902041
debayank2024/house-price-prediction,House Price Prediction,145.3 KB,2026-07-31T17:01:46.000Z,3862,79,13456,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/house-price-prediction,2026-09-01T04:52:03.902086
razanihababdellatif/smart-city-digital-twin-ecosystem-dataset,Smart City Digital Twin Ecosystem Dataset,99.5 MB,2026-08-29T14:01:30.657Z,200,22,1094,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/smart-city-digital-twin-ecosystem-dataset,2026-09-01T04:52:03.902132
razanihababdellatif/food-delivery-orders-and-eta-logistics-dataset,Food Delivery Orders & ETA Logistics Dataset,2.6 MB,2026-08-15T12:33:55.067Z,1453,40,5428,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/food-delivery-orders-and-eta-logistics-dataset,2026-09-01T04:52:03.902177
mansiaggarwal88/diabetes-risk-prediction,Diabetes Risk Prediction,322.9 KB,2026-08-13T15:38:56.197Z,1390,31,4417,Mansi Aggarwal,https://www.kaggle.com/datasets/mansiaggarwal88/diabetes-risk-prediction,2026-09-01T04:52:03.902223
yogeshm01/spotify-artist-streaming-analytics-20152025,Spotify Artist Streaming Analytics (2015–2025),6.8 MB,2026-08-11T14:38:51.783Z,1224,28,4774,Yogesh Mishra,https://www.kaggle.com/datasets/yogeshm01/spotify-artist-streaming-analytics-20152025,2026-09-01T04:52:03.902269
jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,Indian E-Commerce Sales Analytics Dataset,10.5 MB,2026-08-05T12:05:25.157Z,3132,59,8689,Jatin khandelwal112,https://www.kaggle.com/datasets/jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,2026-09-01T04:52:03.902314
srisyra02/diabetes-risk-prediction-dataset,Diabetes Risk Prediction Dataset,2.9 MB,2026-08-19T11:02:49.983Z,831,25,2925,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/diabetes-risk-prediction-dataset,2026-09-01T04:52:03.902359
georgymamarin/kaggriculture-episodes,Kaggriculture Episodes,8.3 GB,2026-09-01T04:03:05.003Z,13795,57,2501,Georgy Mamarin,https://www.kaggle.com/datasets/georgymamarin/kaggriculture-episodes,2026-09-01T04:52:03.902404
srisyra02/e-commerce-sales-performance-analysis,E-Commerce Sales Performance Analysis,108.3 KB,2026-08-06T04:17:51.643Z,2341,34,7598,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/e-commerce-sales-performance-analysis,2026-09-01T04:52:03.902447
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,317873,5992,2213211,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-09-01T04:52:03.902489
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,64227,1001,351925,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-09-01T04:52:03.902521
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,365015,3902,1503203,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-09-01T04:52:03.902545
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,51557,1453,449225,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-09-01T04:52:03.902568
nasa/kepler-exoplanet-search-results,Kepler Exoplanet Search Results,1.2 MB,2017-10-10T18:26:59.497Z,30019,874,221591,NASA,https://www.kaggle.com/datasets/nasa/kepler-exoplanet-search-results,2026-09-01T04:52:03.902603
