ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,12958,317,50828,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-16T03:25:50.568411
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,1998,43,6340,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-16T03:25:50.568490
ashyou09/global-budget-allocation-dataset-19362026,Global Budget Allocation Dataset (1936–2026) 🌎,288.1 KB,2026-07-11T08:11:16.587Z,1114,33,2800,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-budget-allocation-dataset-19362026,2026-07-16T03:25:50.568545
ashyou09/apple-products-pricing-dataset-2020-2026,Apple Products Pricing Dataset (2020-2026)🍎,1.5 MB,2026-07-04T16:06:56.000Z,2099,42,6866,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/apple-products-pricing-dataset-2020-2026,2026-07-16T03:25:50.568586
rickyjackson/quebec-housing-sales-price,Quebec Housing Sales price,90.0 KB,2026-07-12T21:05:30.000Z,484,22,1701,Ricky Jackson,https://www.kaggle.com/datasets/rickyjackson/quebec-housing-sales-price,2026-07-16T03:25:50.568621
uditjain13/neurogolf-kevali-7232-nets,NeuroGolf 2026 - Kevali 7268.48 Nets,452.5 KB,2026-07-11T08:24:05.000Z,1013,24,900,Udit Jain,https://www.kaggle.com/datasets/uditjain13/neurogolf-kevali-7232-nets,2026-07-16T03:25:50.568642
mann14/2026-fifa-world-cup,2026 FIFA World Cup,2.8 KB,2026-07-12T14:12:19.273Z,927,24,3741,Mann Raval,https://www.kaggle.com/datasets/mann14/2026-fifa-world-cup,2026-07-16T03:25:50.568684
rewantbhriguvanshi/customer-shopping-trends-indian,Customer Shopping Trends Indian,593.6 KB,2026-07-03T12:50:06.887Z,906,30,2668,Rewant Bhriguvanshi,https://www.kaggle.com/datasets/rewantbhriguvanshi/customer-shopping-trends-indian,2026-07-16T03:25:50.568723
uditjain13/social-media-screen-time-and-mental-health-2026,"Social Media, Screen Time & Mental Health 2026",174.3 KB,2026-07-05T09:19:11.000Z,1341,40,4999,Udit Jain,https://www.kaggle.com/datasets/uditjain13/social-media-screen-time-and-mental-health-2026,2026-07-16T03:25:50.568765
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,4631,94,15933,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-16T03:25:50.568804
mirzayasirabdullah07/netflix-dataset,Netflix Dataset,1.9 KB,2026-06-23T11:32:10.000Z,1579,39,6274,Mirza Yasir Abdullah Baig,https://www.kaggle.com/datasets/mirzayasirabdullah07/netflix-dataset,2026-07-16T03:25:50.568842
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,2452,9,830,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-07-16T03:25:50.568864
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,358150,3890,1496773,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-16T03:25:50.568885
arjunmehta1992/chocolate-sales-in-20222023,Chocolate Sales in 2022–2023,4.6 MB,2026-06-21T03:52:16.000Z,4005,55,11950,Arjun Mehta,https://www.kaggle.com/datasets/arjunmehta1992/chocolate-sales-in-20222023,2026-07-16T03:25:50.568923
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,310510,5958,2201601,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-07-16T03:25:50.568961
uditjain13/nvidia-gpu-sales-synthetic-2026,Nvidia GPU Sales Data 2026,179.0 KB,2026-07-05T19:39:05.353Z,922,37,3728,Udit Jain,https://www.kaggle.com/datasets/uditjain13/nvidia-gpu-sales-synthetic-2026,2026-07-16T03:25:50.568999
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,68176,1497,497176,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-16T03:25:50.569034
nolanbconaway/pitchfork-data,"18,393 Pitchfork Reviews",33.3 MB,2017-01-13T04:18:10.113Z,19847,468,109215,Nolan Conaway,https://www.kaggle.com/datasets/nolanbconaway/pitchfork-data,2026-07-16T03:25:50.569060
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,46534,1444,445760,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-07-16T03:25:50.569079
nasa/kepler-exoplanet-search-results,Kepler Exoplanet Search Results,1.2 MB,2017-10-10T18:26:59.497Z,25153,871,219610,NASA,https://www.kaggle.com/datasets/nasa/kepler-exoplanet-search-results,2026-07-16T03:25:50.569111
