ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,12373,301,48625,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-07-15T03:18:39.783179
ashyou09/global-budget-allocation-dataset-19362026,Global Budget Allocation Dataset (1936–2026) 🌎,288.1 KB,2026-07-11T08:11:16.587Z,785,27,2471,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/global-budget-allocation-dataset-19362026,2026-07-15T03:18:39.783229
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,1677,38,5315,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-07-15T03:18:39.783270
ashyou09/apple-products-pricing-dataset-2020-2026,Apple Products Pricing Dataset (2020-2026)🍎,1.5 MB,2026-07-04T16:06:56.000Z,1977,39,6464,Ashutosh Singh,https://www.kaggle.com/datasets/ashyou09/apple-products-pricing-dataset-2020-2026,2026-07-15T03:18:39.783310
mann14/2026-fifa-world-cup,2026 FIFA World Cup,2.8 KB,2026-07-12T14:12:19.273Z,849,21,3506,Mann Raval,https://www.kaggle.com/datasets/mann14/2026-fifa-world-cup,2026-07-15T03:18:39.783350
uditjain13/neurogolf-kevali-7232-nets,NeuroGolf 2026 - Kevali 7268.48 Nets,452.5 KB,2026-07-11T08:24:05.000Z,895,24,861,Udit Jain,https://www.kaggle.com/datasets/uditjain13/neurogolf-kevali-7232-nets,2026-07-15T03:18:39.783372
udaykumar025/anime-dataset-top-10k-normalized,Anime dataset (Top 10K Normalized),4.6 MB,2026-06-29T19:35:31.653Z,564,23,1924,Uday Kumar,https://www.kaggle.com/datasets/udaykumar025/anime-dataset-top-10k-normalized,2026-07-15T03:18:39.783411
rewantbhriguvanshi/customer-shopping-trends-indian,Customer Shopping Trends Indian,593.6 KB,2026-07-03T12:50:06.887Z,818,27,2387,Rewant Bhriguvanshi,https://www.kaggle.com/datasets/rewantbhriguvanshi/customer-shopping-trends-indian,2026-07-15T03:18:39.783449
uditjain13/social-media-screen-time-and-mental-health-2026,"Social Media, Screen Time & Mental Health 2026",174.3 KB,2026-07-05T09:19:11.000Z,1259,39,4735,Udit Jain,https://www.kaggle.com/datasets/uditjain13/social-media-screen-time-and-mental-health-2026,2026-07-15T03:18:39.783518
mirzayasirabdullah07/netflix-dataset,Netflix Dataset,1.9 KB,2026-06-23T11:32:10.000Z,1493,38,5961,Mirza Yasir Abdullah Baig,https://www.kaggle.com/datasets/mirzayasirabdullah07/netflix-dataset,2026-07-15T03:18:39.783560
sunil123kumar/social-media-impact-on-mental-health,Social_Media_Impact_on_Mental Health,15.8 KB,2026-06-10T08:30:07.557Z,4441,93,15344,sunil kumar,https://www.kaggle.com/datasets/sunil123kumar/social-media-impact-on-mental-health,2026-07-15T03:18:39.783599
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,357680,3889,1496591,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-07-15T03:18:39.783620
arjunmehta1992/chocolate-sales-in-20222023,Chocolate Sales in 2022–2023,4.6 MB,2026-06-21T03:52:16.000Z,3948,55,11781,Arjun Mehta,https://www.kaggle.com/datasets/arjunmehta1992/chocolate-sales-in-20222023,2026-07-15T03:18:39.783658
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,310048,5958,2201339,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-07-15T03:18:39.783697
uditjain13/nvidia-gpu-sales-synthetic-2026,Nvidia GPU Sales Data 2026,179.0 KB,2026-07-05T19:39:05.353Z,864,36,3569,Udit Jain,https://www.kaggle.com/datasets/uditjain13/nvidia-gpu-sales-synthetic-2026,2026-07-15T03:18:39.783736
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,67755,1497,497058,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-07-15T03:18:39.783770
nolanbconaway/pitchfork-data,"18,393 Pitchfork Reviews",33.3 MB,2017-01-13T04:18:10.113Z,19439,468,109193,Nolan Conaway,https://www.kaggle.com/datasets/nolanbconaway/pitchfork-data,2026-07-15T03:18:39.783797
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,46116,1444,445680,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-07-15T03:18:39.783817
nasa/kepler-exoplanet-search-results,Kepler Exoplanet Search Results,1.2 MB,2017-10-10T18:26:59.497Z,24741,871,219538,NASA,https://www.kaggle.com/datasets/nasa/kepler-exoplanet-search-results,2026-07-15T03:18:39.783849
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,58487,993,348877,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-07-15T03:18:39.783877
