ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
datascikhan/e-commerce-sales-and-customer-analytics,E-Commerce Sales Analytics Dataset,28.4 MB,2026-08-25T08:00:46.013Z,7622,158,23863,Shair Khan,https://www.kaggle.com/datasets/datascikhan/e-commerce-sales-and-customer-analytics,2026-09-16T04:35:45.162159
srisyra02/online-food-ordering-dataset,Online Food Ordering Dataset,3.6 KB,2026-08-23T15:26:25.483Z,5149,84,17684,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/online-food-ordering-dataset,2026-09-16T04:35:45.162215
dreaddevelopment/raptor-knee-maxspan,Knee MRI - Max-Span Dense Corpus,259.1 MB,2026-08-22T20:14:47.093Z,834,31,2100,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-maxspan,2026-09-16T04:35:45.162292
dreaddevelopment/raptor-knee-widedense,Knee MRI model weights: twelve findings,518.2 MB,2026-08-23T04:12:20.703Z,1252,77,5406,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-widedense,2026-09-16T04:35:45.162364
mobeenfatimah/student-exam-performance-and-success-dataset,Student Exam Performance &  Success Dataset,5.7 MB,2026-08-19T07:30:23.257Z,4250,77,14694,Mobeen Fatima,https://www.kaggle.com/datasets/mobeenfatimah/student-exam-performance-and-success-dataset,2026-09-16T04:35:45.162403
dreaddevelopment/raptor-knee-native384dense,Knee MRI - Native 384 Dense Corpus,259.1 MB,2026-08-23T13:17:23.333Z,274,10,549,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-native384dense,2026-09-16T04:35:45.162476
dreaddevelopment/raptor-knee-native384,Knee MRI - Native 384 Corpus,259.1 MB,2026-08-23T00:35:34.303Z,272,13,488,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-native384,2026-09-16T04:35:45.162548
erfan4524/e-commerce-sales-data-analysis-and-eda,E-Commerce Sales Data Analysis & EDA,2.1 MB,2026-08-28T15:12:17.000Z,4117,87,12451,Mohammad erfan Abbasnehzad,https://www.kaggle.com/datasets/erfan4524/e-commerce-sales-data-analysis-and-eda,2026-09-16T04:35:45.162597
beamhonor0911/spotify-artist-streaming-analytics-20202025,Spotify Streaming Data and Audio Feature (2020-25),4.3 MB,2026-08-28T10:51:36.203Z,2410,54,9741,Anshumaan Sharma,https://www.kaggle.com/datasets/beamhonor0911/spotify-artist-streaming-analytics-20202025,2026-09-16T04:35:45.162635
tonylica/rsna-knee-bend-dinov3-0917-repro-assets,RSNA Knee DINO RadImageNet Raptor Assets,3.8 GB,2026-09-12T19:32:57.133Z,5062,2,769,Tony Li,https://www.kaggle.com/datasets/tonylica/rsna-knee-bend-dinov3-0917-repro-assets,2026-09-16T04:35:45.162656
pilkwang/rsna-knee-llm-labels,RSNA Knee LLM-read report labels,142.2 KB,2026-08-06T10:31:34.133Z,3638,18,2102,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/rsna-knee-llm-labels,2026-09-16T04:35:45.162673
nilesh2042/sony-stock-data,SONY  Group Corporation Stock data (2014–2026),114.6 KB,2026-08-26T16:59:07.913Z,504,28,2248,Nilesh Kadam,https://www.kaggle.com/datasets/nilesh2042/sony-stock-data,2026-09-16T04:35:45.162711
harishyadav0506/imdb-movies-dataset-csv,imdb_movies_dataset.csv,1.7 KB,2026-08-21T14:53:55.317Z,909,31,3721,Harish Yadav,https://www.kaggle.com/datasets/harishyadav0506/imdb-movies-dataset-csv,2026-09-16T04:35:45.162741
mansiaggarwal88/diabetes-risk-prediction,Diabetes Risk Prediction,322.9 KB,2026-08-13T15:38:56.197Z,3612,60,12026,Mansi Aggarwal,https://www.kaggle.com/datasets/mansiaggarwal88/diabetes-risk-prediction,2026-09-16T04:35:45.162778
stevenleehans/rsna-knee-llm-report-labels,RSNA Knee LLM Report Labels,416.0 KB,2026-08-09T06:16:43.867Z,3983,52,4600,stevenleehans,https://www.kaggle.com/datasets/stevenleehans/rsna-knee-llm-report-labels,2026-09-16T04:35:45.162805
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,12095,290,44432,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-09-16T04:35:45.162841
zeyadmohamed26/netflix-customer-churn-and-engagement-analytics,Netflix Customer Churn & Engagement Analytics,185.6 KB,2026-09-07T11:24:25.000Z,453,24,1761,Zeyad Mohamed,https://www.kaggle.com/datasets/zeyadmohamed26/netflix-customer-churn-and-engagement-analytics,2026-09-16T04:35:45.162876
dreaddevelopment/knee-raptor-corpus-ext,"Knee MRI preprocessed slice stacks, part 2 of 2",4.2 GB,2026-08-21T23:14:46.213Z,1124,31,1439,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/knee-raptor-corpus-ext,2026-09-16T04:35:45.162934
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,318903,6006,2217547,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-09-16T04:35:45.162970
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,365680,3909,1505332,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-09-16T04:35:45.162989
