ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
datascikhan/e-commerce-sales-and-customer-analytics,E-Commerce Sales Analytics Dataset,28.4 MB,2026-08-25T08:00:46.013Z,10535,226,33026,Shair Khan,https://www.kaggle.com/datasets/datascikhan/e-commerce-sales-and-customer-analytics,2026-09-22T04:36:37.060295
dreaddevelopment/raptor-knee-maxspan,Knee MRI - Max-Span Dense Corpus,259.1 MB,2026-08-22T20:14:47.093Z,1021,32,2745,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-maxspan,2026-09-22T04:36:37.060414
srisyra02/online-food-ordering-dataset,Online Food Ordering Dataset,3.6 KB,2026-08-23T15:26:25.483Z,7405,120,25898,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/online-food-ordering-dataset,2026-09-22T04:36:37.060464
dreaddevelopment/raptor-knee-native384dense,Knee MRI - Native 384 Dense Corpus,259.1 MB,2026-08-23T13:17:23.333Z,417,13,1148,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-native384dense,2026-09-22T04:36:37.060554
dreaddevelopment/raptor-knee-native384,Knee MRI - Native 384 Corpus,259.1 MB,2026-08-23T00:35:34.303Z,385,17,743,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-native384,2026-09-22T04:36:37.060645
mobeenfatimah/student-exam-performance-and-success-dataset,Student Exam Performance &  Success Dataset,5.7 MB,2026-08-19T07:30:23.257Z,5980,104,20397,Mobeen Fatima,https://www.kaggle.com/datasets/mobeenfatimah/student-exam-performance-and-success-dataset,2026-09-22T04:36:37.060676
harishyadav0506/impact-of-social-media-on-life,Impact of Social Media on Life,77.1 KB,2026-09-09T18:10:54.497Z,1193,28,4203,Harish Yadav,https://www.kaggle.com/datasets/harishyadav0506/impact-of-social-media-on-life,2026-09-22T04:36:37.060703
zeyadmohamed26/netflix-customer-churn-and-engagement-analytics,Netflix Customer Churn & Engagement Analytics,185.6 KB,2026-09-07T11:24:25.000Z,1165,32,4330,Zeyad Mohamed,https://www.kaggle.com/datasets/zeyadmohamed26/netflix-customer-churn-and-engagement-analytics,2026-09-22T04:36:37.060733
erfan4524/e-commerce-sales-data-analysis-and-eda,E-Commerce Sales Data Analysis & EDA,2.1 MB,2026-08-28T15:12:17.000Z,4884,95,14787,Mohammad erfan Abbasnehzad,https://www.kaggle.com/datasets/erfan4524/e-commerce-sales-data-analysis-and-eda,2026-09-22T04:36:37.060763
hubertsidorowicz/football-players-stats-2026-2027,Football Players Stats (2026-2027),243.4 KB,2026-09-14T09:52:07.127Z,731,22,3061,Hubert Sidorowicz,https://www.kaggle.com/datasets/hubertsidorowicz/football-players-stats-2026-2027,2026-09-22T04:36:37.060783
arjunsinghgangwar/ncrb-crime-data-2014,NCRB Crime Data 2014,64.5 KB,2026-09-18T08:58:42.000Z,431,22,1357,ARJUN SINGH GANGWAR,https://www.kaggle.com/datasets/arjunsinghgangwar/ncrb-crime-data-2014,2026-09-22T04:36:37.060814
beamhonor0911/spotify-artist-streaming-analytics-20202025,Spotify Streaming Data and Audio Feature (2020-25),4.3 MB,2026-08-28T10:51:36.203Z,2988,58,12149,Anshumaan Sharma,https://www.kaggle.com/datasets/beamhonor0911/spotify-artist-streaming-analytics-20202025,2026-09-22T04:36:37.060845
danielsowah123/retail-sales-dataset,Retail Sales Dataset,1.0 MB,2026-09-07T20:29:52.073Z,1030,26,3523,Daniel Sowah,https://www.kaggle.com/datasets/danielsowah123/retail-sales-dataset,2026-09-22T04:36:37.060875
pilkwang/rsna-knee-llm-labels,RSNA Knee LLM-read report labels,142.2 KB,2026-08-06T10:31:34.133Z,4203,22,2395,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/rsna-knee-llm-labels,2026-09-22T04:36:37.060888
mansiaggarwal88/diabetes-risk-prediction,Diabetes Risk Prediction,322.9 KB,2026-08-13T15:38:56.197Z,4338,65,14721,Mansi Aggarwal,https://www.kaggle.com/datasets/mansiaggarwal88/diabetes-risk-prediction,2026-09-22T04:36:37.060915
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,319246,6011,2219069,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-09-22T04:36:37.060942
arjunsinghgangwar/titanic-survival-prediction-dataset,Titanic Passenger Survival Prediction Dataset,22.2 KB,2026-09-02T07:54:53.543Z,1588,52,5334,ARJUN SINGH GANGWAR,https://www.kaggle.com/datasets/arjunsinghgangwar/titanic-survival-prediction-dataset,2026-09-22T04:36:37.060970
zynicide/wine-reviews,Wine Reviews,50.9 MB,2017-11-27T17:08:04.000Z,366024,3913,1506396,zackthoutt,https://www.kaggle.com/datasets/zynicide/wine-reviews,2026-09-22T04:36:37.060985
datasnaek/chess,Chess Game Dataset (Lichess),2.8 MB,2017-09-04T03:09:09.453Z,74394,1513,505424,Mitchell J,https://www.kaggle.com/datasets/datasnaek/chess,2026-09-22T04:36:37.061009
tonylica/rsna-knee-bend-dinov3-0917-repro-assets,RSNA Knee DINO RadImageNet Raptor Assets,3.8 GB,2026-09-12T19:32:57.133Z,5571,2,862,Tony Li,https://www.kaggle.com/datasets/tonylica/rsna-knee-bend-dinov3-0917-repro-assets,2026-09-22T04:36:37.061024
