ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
datascikhan/e-commerce-sales-and-customer-analytics,E-Commerce Sales Analytics Dataset,28.4 MB,2026-08-25T08:00:46.013Z,12615,275,39844,Shair Khan,https://www.kaggle.com/datasets/datascikhan/e-commerce-sales-and-customer-analytics,2026-09-26T04:44:12.994281
srisyra02/online-food-ordering-dataset,Online Food Ordering Dataset,3.6 KB,2026-08-23T15:26:25.483Z,9271,151,32393,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/online-food-ordering-dataset,2026-09-26T04:44:12.994329
dreaddevelopment/raptor-knee-maxspan,Knee MRI - Max-Span Dense Corpus,259.1 MB,2026-08-22T20:14:47.093Z,1139,39,3427,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-maxspan,2026-09-26T04:44:12.994411
harishyadav0506/impact-of-social-media-on-life,Impact of Social Media on Life,77.1 KB,2026-09-09T18:10:54.497Z,2184,43,7507,Harish Yadav,https://www.kaggle.com/datasets/harishyadav0506/impact-of-social-media-on-life,2026-09-26T04:44:12.994448
dreaddevelopment/raptor-knee-native384,Knee MRI - Native 384 Corpus,259.1 MB,2026-08-23T00:35:34.303Z,436,18,908,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-native384,2026-09-26T04:44:12.994524
danielsowah123/retail-sales-dataset,Retail Sales Dataset,1.0 MB,2026-09-07T20:29:52.073Z,1852,38,6378,Daniel Sowah,https://www.kaggle.com/datasets/danielsowah123/retail-sales-dataset,2026-09-26T04:44:12.994564
anvithpothula/biohub-v1284-head-s075,biohub v1284 head s075,29.4 KB,2026-09-20T14:13:26.057Z,423,9,336,Anvith Pothula,https://www.kaggle.com/datasets/anvithpothula/biohub-v1284-head-s075,2026-09-26T04:44:12.994586
sergionefedov/college-major-roi,College Major ROI,820.1 KB,2026-09-19T10:09:32.817Z,569,22,2424,Sergey Nefedov,https://www.kaggle.com/datasets/sergionefedov/college-major-roi,2026-09-26T04:44:12.994625
mobeenfatimah/student-exam-performance-and-success-dataset,Student Exam Performance &  Success Dataset,5.7 MB,2026-08-19T07:30:23.257Z,6802,116,23449,Mobeen Fatima,https://www.kaggle.com/datasets/mobeenfatimah/student-exam-performance-and-success-dataset,2026-09-26T04:44:12.994665
harshitsama/us-grocery-and-gas-prices-2015-2026,US Grocery and Gas Prices (2015-2026),98.5 KB,2026-09-06T16:50:39.357Z,1101,33,4657,Harshit Kumar,https://www.kaggle.com/datasets/harshitsama/us-grocery-and-gas-prices-2015-2026,2026-09-26T04:44:12.994709
manishpatil115/farmer-income-prediction-dataset,Farmer Income Prediction Dataset,11.3 MB,2026-09-22T14:50:27.363Z,466,23,1982,Manish,https://www.kaggle.com/datasets/manishpatil115/farmer-income-prediction-dataset,2026-09-26T04:44:12.994748
parthfr/marvel-cinematic-universe-boxoffice-csv,Marvel Cinematic Universe BoxOffice CSV,2.3 KB,2026-08-31T09:38:00.133Z,1202,28,4143,PARTH CHAUHAN,https://www.kaggle.com/datasets/parthfr/marvel-cinematic-universe-boxoffice-csv,2026-09-26T04:44:12.994783
dreaddevelopment/raptor-knee-widedense,Knee MRI model weights: twelve findings,518.2 MB,2026-08-23T04:12:20.703Z,1406,80,6111,Dread Development,https://www.kaggle.com/datasets/dreaddevelopment/raptor-knee-widedense,2026-09-26T04:44:12.994860
zeyadmohamed26/netflix-customer-churn-and-engagement-analytics,Netflix Customer Churn & Engagement Analytics,185.6 KB,2026-09-07T11:24:25.000Z,1646,35,6142,Zeyad Mohamed,https://www.kaggle.com/datasets/zeyadmohamed26/netflix-customer-churn-and-engagement-analytics,2026-09-26T04:44:12.994898
mariaaqdas/popular-movies-and-tv-shows-dataset-2026,Popular Movies & TV Shows Dataset 2026,151.4 KB,2026-08-24T17:21:35.323Z,1074,31,4296,Maria Aqdas,https://www.kaggle.com/datasets/mariaaqdas/popular-movies-and-tv-shows-dataset-2026,2026-09-26T04:44:12.994947
arjunsinghgangwar/titanic-survival-prediction-dataset,Titanic Passenger Survival Prediction Dataset,22.2 KB,2026-09-02T07:54:53.543Z,1969,58,6249,ARJUN SINGH GANGWAR,https://www.kaggle.com/datasets/arjunsinghgangwar/titanic-survival-prediction-dataset,2026-09-26T04:44:12.994984
srisyra02/coffee-shop-sales-dataset,☕Coffee Shop Sales Dataset☕,1.3 MB,2026-08-28T04:03:52.267Z,1075,25,3975,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/coffee-shop-sales-dataset,2026-09-26T04:44:12.995020
mikedpad/ea-sports-fc27-player-ratings,EA SPORTS FC™ 27 Player Ratings,1.6 MB,2026-09-14T08:02:25.000Z,907,27,3615,MikeDPad,https://www.kaggle.com/datasets/mikedpad/ea-sports-fc27-player-ratings,2026-09-26T04:44:12.995060
erfan4524/e-commerce-sales-data-analysis-and-eda,E-Commerce Sales Data Analysis & EDA,2.1 MB,2026-08-28T15:12:17.000Z,5273,101,16178,Mohammad erfan Abbasnehzad,https://www.kaggle.com/datasets/erfan4524/e-commerce-sales-data-analysis-and-eda,2026-09-26T04:44:12.995096
manaswinsripatnala/procrastination-habits-and-behaviors-data,Procrastination Habits and Behaviors Data,10.1 KB,2026-08-27T17:56:12.803Z,895,26,4276,Manaswin Sripatnala,https://www.kaggle.com/datasets/manaswinsripatnala/procrastination-habits-and-behaviors-data,2026-09-26T04:44:12.995128
