ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,8102,159,26000,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-08-09T02:20:10.747877
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,2553,49,9266,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-08-09T02:20:10.747908
kylefengkfeng209/most-streamed-spotify-songs-2025,Most Streamed Spotify Songs 2025,24.2 KB,2026-07-15T08:02:18.000Z,1383,39,5029,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/most-streamed-spotify-songs-2025,2026-08-09T02:20:10.747931
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,9046,162,28268,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-08-09T02:20:10.747955
kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,"College Majors 2026: Earnings, Debt, Jobs, AI",15.8 MB,2026-08-01T17:57:51.000Z,638,25,2671,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,2026-08-09T02:20:10.747979
laxmikantaroy/fifa-world-cup-all-matches-19302026,FIFA World Cup All Matches (1930–2026),22.2 KB,2026-08-04T21:13:01.163Z,670,22,2363,Laxmikanta Roy,https://www.kaggle.com/datasets/laxmikantaroy/fifa-world-cup-all-matches-19302026,2026-08-09T02:20:10.748003
saitejabandaruin/automated-pipeline-dataset-output,"""Global Tech & AI Startups Dataset (2020-2026)""",750.6 KB,2026-07-30T18:56:58.237Z,750,28,2580,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/automated-pipeline-dataset-output,2026-08-09T02:20:10.748028
rishavsvault/most-streamed-artists-on-spotify,Most Streamed Artists on Spotify,36.7 KB,2026-07-24T16:55:05.213Z,3196,59,10245,Rishav,https://www.kaggle.com/datasets/rishavsvault/most-streamed-artists-on-spotify,2026-08-09T02:20:10.748052
srisyra02/amazon-product-sales-data-42k-items-2025,Amazon Product Sales Data 42K+ Items - 2025,3.9 MB,2026-07-21T05:14:19.917Z,1709,37,6425,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/amazon-product-sales-data-42k-items-2025,2026-08-09T02:20:10.748077
harpartapsingh13/sleep-and-doomscrolling-habits-dataset,Sleep & Doomscrolling Habits Dataset,34.1 KB,2026-07-30T06:10:12.257Z,840,29,3337,Harpartap Singh,https://www.kaggle.com/datasets/harpartapsingh13/sleep-and-doomscrolling-habits-dataset,2026-08-09T02:20:10.748098
kylefengkfeng209/sleep-vs-gpa-in-college,Sleep vs. GPA in College,20.5 KB,2026-07-15T06:51:48.000Z,1046,28,4119,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/sleep-vs-gpa-in-college,2026-08-09T02:20:10.748122
georgymamarin/kaggriculture-episodes,Kaggriculture Episodes,1.4 GB,2026-08-09T00:52:35.553Z,1721,28,816,Georgy Mamarin,https://www.kaggle.com/datasets/georgymamarin/kaggriculture-episodes,2026-08-09T02:20:10.748146
kylefengkfeng209/screen-time-vs-mental-health-ml-ready,Screen Time vs Mental Health (ML-Ready),109.5 KB,2026-07-23T19:38:02.563Z,1438,31,5622,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/screen-time-vs-mental-health-ml-ready,2026-08-09T02:20:10.748170
ravaghi/wellbore-geology-prediction-artifacts,Wellbore Geology Prediction | Artifacts,2.2 GB,2026-06-04T14:39:56.717Z,5996,19,4453,Mahdi Ravaghi,https://www.kaggle.com/datasets/ravaghi/wellbore-geology-prediction-artifacts,2026-08-09T02:20:10.748181
fleongg/rogii-claude-models-pub,rogii-claude-models-pub,9.7 MB,2026-06-07T19:21:25.000Z,2721,10,1768,fle3n,https://www.kaggle.com/datasets/fleongg/rogii-claude-models-pub,2026-08-09T02:20:10.748191
phongnguyn23021656/koolbox-offline,koolbox offline,51.9 MB,2025-12-05T02:34:36.197Z,1808,7,1505,Phong Nguyễn 23021656,https://www.kaggle.com/datasets/phongnguyn23021656/koolbox-offline,2026-08-09T02:20:10.748201
vivekmali1436/banking-transactions-dataset,Banking Transactions Dataset,89.4 MB,2026-07-17T13:38:51.717Z,3190,51,8889,Vivek Mali 1436,https://www.kaggle.com/datasets/vivekmali1436/banking-transactions-dataset,2026-08-09T02:20:10.748219
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,23350,559,88832,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-08-09T02:20:10.748243
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,316476,5969,2207391,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-08-09T02:20:10.748266
uditjain13/heart-disease-risk-2026,Heart Disease Risk 2026,343.5 KB,2026-07-16T19:18:02.423Z,2219,55,7496,Udit Jain,https://www.kaggle.com/datasets/uditjain13/heart-disease-risk-2026,2026-08-09T02:20:10.748288
