ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
srisyra02/spotify-music-artist-streaming-analytics,Spotify Music Artist Streaming Analytics,22.9 KB,2026-08-07T03:20:03.313Z,1403,25,4614,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/spotify-music-artist-streaming-analytics,2026-08-16T01:50:09.994770
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,4690,108,16889,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-08-16T01:50:09.994818
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,10792,207,34463,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-08-16T01:50:09.994860
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,10909,182,34289,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-08-16T01:50:09.994927
debayank2024/house-price-prediction,House Price Prediction,145.3 KB,2026-07-31T17:01:46.000Z,1154,30,4068,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/house-price-prediction,2026-08-16T01:50:09.994969
srisyra02/netflix-movies,Netflix Movies and TV Shows,1.3 MB,2026-07-28T03:19:27.000Z,730,21,2827,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/netflix-movies,2026-08-16T01:50:09.995009
shakhnoza12/gold-price-analysis-20002026,Gold Price Analysis (2000–2026),104.3 KB,2026-07-23T12:33:38.433Z,1250,29,4419,Shakhnoza12_,https://www.kaggle.com/datasets/shakhnoza12/gold-price-analysis-20002026,2026-08-16T01:50:09.995043
jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,Indian E-Commerce Sales Analytics Dataset,10.5 MB,2026-08-05T12:05:25.157Z,861,23,2350,Jatin khandelwal112,https://www.kaggle.com/datasets/jatinkhandelwal112/indian-e-commerce-sales-analytics-dataset,2026-08-16T01:50:09.995081
saitejabandaruin/global-restaurant-delivery-intelligence,Global Restaurant & Food Delivery Intelligence,3.2 MB,2026-08-11T00:29:06.007Z,862,33,2974,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/global-restaurant-delivery-intelligence,2026-08-16T01:50:09.995119
pandaa12/indonesia-airbnb-dataset-bandung-listings,Indonesia Airbnb Dataset: Bandung,60.5 KB,2026-08-09T18:38:01.793Z,466,21,1901,Luthfi Abdillah,https://www.kaggle.com/datasets/pandaa12/indonesia-airbnb-dataset-bandung-listings,2026-08-16T01:50:09.995161
laxmikantaroy/fifa-world-cup-all-matches-19302026,FIFA World Cup All Matches (1930–2026),22.2 KB,2026-08-04T21:13:01.163Z,1309,34,4572,Laxmikanta Roy,https://www.kaggle.com/datasets/laxmikantaroy/fifa-world-cup-all-matches-19302026,2026-08-16T01:50:09.995199
saitejabandaruin/automated-pipeline-dataset-output,"""Global Tech & AI Startups Dataset (2020-2026)""",750.6 KB,2026-08-15T18:03:12.000Z,1280,43,4680,Sai Teja Bandaru,https://www.kaggle.com/datasets/saitejabandaruin/automated-pipeline-dataset-output,2026-08-16T01:50:09.995237
georgymamarin/kaggriculture-episodes,Kaggriculture Episodes,3.9 GB,2026-08-15T03:02:36.000Z,4094,41,1405,Georgy Mamarin,https://www.kaggle.com/datasets/georgymamarin/kaggriculture-episodes,2026-08-16T01:50:09.995276
ravaghi/wellbore-geology-prediction-artifacts,Wellbore Geology Prediction | Artifacts,2.2 GB,2026-06-04T14:39:56.717Z,6040,19,4601,Mahdi Ravaghi,https://www.kaggle.com/datasets/ravaghi/wellbore-geology-prediction-artifacts,2026-08-16T01:50:09.995293
fleongg/rogii-claude-models-pub,rogii-claude-models-pub,9.7 MB,2026-06-07T19:21:25.000Z,2751,10,1811,fle3n,https://www.kaggle.com/datasets/fleongg/rogii-claude-models-pub,2026-08-16T01:50:09.995309
razanihababdellatif/womens-e-commerce-clothing-reviews-and-sales,Women's E-Commerce Clothing Reviews & Sales,963.8 KB,2026-08-09T19:08:19.143Z,571,24,1953,Razan Ihab,https://www.kaggle.com/datasets/razanihababdellatif/womens-e-commerce-clothing-reviews-and-sales,2026-08-16T01:50:09.995347
raykkretzschmar/kaggriculture-reference-agents,Kaggriculture Reference Agents,144.2 KB,2026-08-08T17:02:57.513Z,821,21,1045,Rayk Kretzschmar,https://www.kaggle.com/datasets/raykkretzschmar/kaggriculture-reference-agents,2026-08-16T01:50:09.995386
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,8696,28,2719,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-08-16T01:50:09.995407
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,316920,5976,2209133,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-08-16T01:50:09.995442
kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,"College Majors 2026: Earnings, Debt, Jobs, AI",15.8 MB,2026-08-01T17:57:51.000Z,1010,36,4194,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/college-majors-2026-earnings-debt-jobs-ai,2026-08-16T01:50:09.995477
