ref,title,size,lastUpdated,downloadCount,voteCount,viewCount,ownerName,url,fetch_date
harshadapatil31/student-performance-and-study-habits-dataset,Student Performance & Study Habits Dataset,14.7 KB,2026-07-06T06:28:52.743Z,6398,119,20407,Harshada Patil,https://www.kaggle.com/datasets/harshadapatil31/student-performance-and-study-habits-dataset,2026-08-05T03:22:18.307980
abbas829/ecommerce-sales-dataset,Ecommerce sales dataset,108.4 KB,2026-07-03T00:59:03.347Z,7818,136,24373,Tassawar Abbas,https://www.kaggle.com/datasets/abbas829/ecommerce-sales-dataset,2026-08-05T03:22:18.308031
debayank2024/netflix-movies-and-series,Netflix Movies and Series,1.3 MB,2026-07-27T09:40:46.527Z,1153,24,4185,Debayan Bandyopadhyay,https://www.kaggle.com/datasets/debayank2024/netflix-movies-and-series,2026-08-05T03:22:18.308073
rishavsvault/most-streamed-artists-on-spotify,Most Streamed Artists on Spotify,36.7 KB,2026-07-24T16:55:05.213Z,2843,56,9227,Rishav,https://www.kaggle.com/datasets/rishavsvault/most-streamed-artists-on-spotify,2026-08-05T03:22:18.308112
rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,FIFA World Cup 2026 Player Performance Dataset,4.0 MB,2026-06-10T12:58:47.093Z,22520,545,85805,Ra'uf Fauzan Rambe,https://www.kaggle.com/datasets/rauffauzanrambe/fifa-world-cup-2026-player-performance-dataset,2026-08-05T03:22:18.308153
kylefengkfeng209/screen-time-vs-mental-health-ml-ready,Screen Time vs Mental Health (ML-Ready),109.5 KB,2026-07-23T19:38:02.563Z,1170,29,4625,Mind Lab,https://www.kaggle.com/datasets/kylefengkfeng209/screen-time-vs-mental-health-ml-ready,2026-08-05T03:22:18.308192
vivekmali1436/banking-transactions-dataset,Banking Transactions Dataset,89.4 MB,2026-07-17T13:38:51.717Z,2791,44,7594,Vivek Mali 1436,https://www.kaggle.com/datasets/vivekmali1436/banking-transactions-dataset,2026-08-05T03:22:18.308223
srisyra02/amazon-product-sales-data-42k-items-2025,Amazon Product Sales Data 42K+ Items - 2025,3.9 MB,2026-07-21T05:14:19.917Z,1459,29,5202,Srimathy Sivanessan,https://www.kaggle.com/datasets/srisyra02/amazon-product-sales-data-42k-items-2025,2026-08-05T03:22:18.308262
jatinkhandelwal112/indian-financial-fraud-dataset,Indian Financial Fraud Dataset,9.8 MB,2026-07-20T16:46:13.000Z,922,26,3004,Jatin khandelwal112,https://www.kaggle.com/datasets/jatinkhandelwal112/indian-financial-fraud-dataset,2026-08-05T03:22:18.308300
pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,333.3 MB,2026-07-08T22:42:12.497Z,6263,23,2097,Pilkwang Kim,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,2026-08-05T03:22:18.308322
ravaghi/wellbore-geology-prediction-artifacts,Wellbore Geology Prediction | Artifacts,2.2 GB,2026-06-04T14:39:56.717Z,5907,19,4329,Mahdi Ravaghi,https://www.kaggle.com/datasets/ravaghi/wellbore-geology-prediction-artifacts,2026-08-05T03:22:18.308339
uditjain13/heart-disease-risk-2026,Heart Disease Risk 2026,343.5 KB,2026-07-16T19:18:02.423Z,1901,48,6322,Udit Jain,https://www.kaggle.com/datasets/uditjain13/heart-disease-risk-2026,2026-08-05T03:22:18.308377
fleongg/rogii-claude-models-pub,rogii-claude-models-pub,9.7 MB,2026-06-07T19:21:25.000Z,2667,10,1733,fle3n,https://www.kaggle.com/datasets/fleongg/rogii-claude-models-pub,2026-08-05T03:22:18.308393
phongnguyn23021656/koolbox-offline,koolbox offline,51.9 MB,2025-12-05T02:34:36.197Z,1766,7,1452,Phong Nguyễn 23021656,https://www.kaggle.com/datasets/phongnguyn23021656/koolbox-offline,2026-08-05T03:22:18.308410
jpmiller/publicassistance,US Public Food Assistance 1 - WIC,296.9 KB,2023-04-17T20:01:05.000Z,34145,522,153248,JohnM,https://www.kaggle.com/datasets/jpmiller/publicassistance,2026-08-05T03:22:18.308435
troubador/2026-world-cup-player-statistics,World Cup Player Statistics,105.7 KB,2026-07-29T18:24:36.787Z,1089,24,4007,Rohan Prashanth,https://www.kaggle.com/datasets/troubador/2026-world-cup-player-statistics,2026-08-05T03:22:18.308474
datasnaek/youtube-new,Trending YouTube Video Statistics,200.8 MB,2019-06-03T00:56:47.177Z,316237,5967,2206384,Mitchell J,https://www.kaggle.com/datasets/datasnaek/youtube-new,2026-08-05T03:22:18.308517
residentmario/ramen-ratings,Ramen Ratings,39.8 KB,2018-01-11T16:04:39.893Z,63723,996,350052,Aleksey Bilogur,https://www.kaggle.com/datasets/residentmario/ramen-ratings,2026-08-05T03:22:18.308548
kaggle/pokemon-tcg-ai-battle-episodes-2026-07-31,The Pokémon Company - PTCG AI Battle Challenge Simulation Episodes 2026-07-31,710.3 MB,2026-08-01T00:06:48.000Z,45729,22,1855,Kaggle,https://www.kaggle.com/datasets/kaggle/pokemon-tcg-ai-battle-episodes-2026-07-31,2026-08-05T03:22:18.308564
rtatman/188-million-us-wildfires,1.88 Million US Wildfires,168.1 MB,2020-05-12T21:03:49.213Z,51229,1450,447188,Rachael Tatman,https://www.kaggle.com/datasets/rtatman/188-million-us-wildfires,2026-08-05T03:22:18.308585
